"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"nusap1",176.345521104237,8,0,0,1.5131004289894
"si:ch211-210g13.5",174.682285654498,8,0,0,0.858380643197775
"meox1",173.721238017263,8,0,0,2.92435995081041
"pbx3b",172.917610458135,8,0,0,2.07415766363983
"syne1b",172.423052054715,8,0,0,1.1001487504998
"cad",172.310027673858,8,0,0,0.729699840231546
"hist1h4l.10",171.973810037436,8,0,0,0.601588896441689
"e2f8",171.005880731441,8,0,0,0.845258231041147
"irx3b",170.688232531023,8,0,0,3.2802132255643
"mid2",169.860622524448,8,0,0,0.985848775509477
"msh6",169.809521668965,8,0,0,0.577606783715632
"iqsec2a",169.686137373661,8,0,0,0.60300057829181
"adgrl3.1",169.011175722957,8,0,0,0.643942300940587
"cdc20",168.868666277768,8,0,0,1.56255950884783
"ccnb1",168.642286436352,8,0,0,1.57446222628583
"gmps",167.768975243627,8,0,0,0.549856837643847
"fbxo5",167.456014831204,8,0,0,1.49805575629897
"foxl2b",167.220680697609,8,0,0,3.03499196694703
"ccdc120",165.186297866072,8,0,0,2.00908457760263
"agrn",165.160969371115,8,0,0,1.05777469386671
"shmt1",164.929361463504,8,0,0,0.635455880466022
"nolc1",164.694147547836,8,0,0,0.516504251926069
"si:dkey-30c15.10",163.979340124861,8,0,0,1.26918872813941
"si:dkey-220k22.1",163.947805417513,8,0,0,1.06196037986136
"ppp1r1c",163.914358592658,8,0,0,1.12411367335246
"kif20bb",163.687546899735,8,0,0,1.28689781405306
"postna",163.311804712359,8,0,0,2.78242302740357
"CABZ01079281.1",163.268348057935,8,0,0,1.64494226075672
"wdr43",162.44155221975,8,0,0,0.5948751315858
"snx22",162.001357783154,8,0,0,1.08595525802202
"kif22",161.216545308425,8,0,0,1.00337226004413
"cacna1aa",161.062818749117,8,0,0,2.55424214352246
"metrnla",160.647816969211,8,0,0,0.541233335389111
"ncam2",160.490667998032,8,0,0,1.91047514215147
"ccnf",160.413894659188,8,0,0,2.15988799060012
"cita",160.344260508706,8,0,0,2.05050877524649
"nav3",159.607206287434,8,0,0,1.65916767189958
"hoxc3a",159.45923254076,8,0,0,4.01065864240452
"mmp15b",158.045235928889,8,0,0,1.43858928445139
"pear1",158.014052635155,8,0,0,0.495247779636512
"pbk",157.791146172226,8,0,0,1.11702897532802
"ccn1",157.522903112877,8,0,0,1.62028662791717
"rhag",156.508074452492,8,0,0,2.51992318941062
"abtb2b",156.31588118706,8,0,0,1.80557427591941
"lrpprc",155.972818914018,8,0,0,0.581685665069364
"gria4a",154.719744274293,8,0,0,0.558584968761041
"atad5a",154.604711637415,8,0,0,0.730111944856805
"caskin1",154.439437012312,8,0,0,0.690677417322956
"ncaph",153.082159885702,8,0,0,1.41684138782851
"dip2a",152.652434510131,8,0,0,0.405926181196933
"pitpnm3",152.522609666255,8,0,0,1.21892153120796
