"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"ttyh2l",28.6855487647763,8,0.000360006095306953,0.000673660970211365,1.04133865173894
"arhgef28a",28.5161234009467,8,0.000385435132499889,0.000720547496249793,2.44635635428483
"ret",28.4483934618897,8,0.000396086405311746,0.000739743982094305,7.71391275287686
"gng13b",28.4085689414154,8,0.000402483435469891,0.00075096571502249,1.56286006916379
"zgc:158689",28.3741504864304,8,0.000408093612163429,0.000760699086125274,1.2745145230572
"rad51c",28.3621511927731,8,0.000410067453505025,0.000763641991931805,1.40330236989746
"zgc:163040.1",28.2636892723916,8,0.000426621536775418,0.000793704938004699,1.51408066843514
"BX640512.3",28.2176882040848,8,0.000434578377932371,0.000807730773599301,1.44546484652523
"fras1",27.977621769946,8,0.000478522365337186,0.000888553056865303,0.500459537571605
"cadpsa",27.7900462157273,8,0.000515861171777598,0.00095696702979472,0.88874862700244
"BX663520.2",27.4726788234216,8,0.00058563553640778,0.00108536288770493,1.94271914202713
"lin28b",27.4102829403112,8,0.000600401981229237,0.00111166382156716,0.533837083702009
"BX323807.2",27.3955499367542,8,0.000603941492540283,0.00111714727758887,2.59651317421293
"CU928117.1",27.2731123064765,8,0.000634157332524588,0.00117191790035375,0.435326627185631
"ebf2",27.2673758269324,8,0.000635608719160241,0.00117347817969126,2.63886467064036
"nr4a1",27.2234892229195,8,0.000646820549550453,0.0011930382846193,0.502346747247059
"CRACD",27.1649969350525,8,0.000662065028928516,0.00121999208857848,1.28002422048462
"lhfpl6",27.1297760896899,8,0.000671413398113385,0.00123604009386017,0.439658676372847
"cux2b",27.0793158445642,8,0.000685032044847711,0.00125991145831648,1.1104970116893
"icn",27.0760432142022,8,0.000685924562226825,0.0012603537821145,0.682264690029005
"krt91",27.0600608987729,8,0.000690299655667914,0.0012671882567959,0.488816648344786
"CT033796.2",26.8343571228667,8,0.000755078368488982,0.00138478793765579,0.356407625808369
"CABZ01076275.1",26.6558093626844,8,0.00081049987738957,0.00148502015449672,0.267485877573814
"myh11a",26.2749509164889,8,0.000942332703019688,0.00172493287399343,1.27627460737638
"nexmifb",26.2563959779806,8,0.000949264347616885,0.00173597727903826,0.759243137398317
"id2a",26.229844077044,8,0.000959270140768242,0.00175261737439037,0.238325575700847
"phldb1a",26.2218756072993,8,0.000962293014190374,0.00175648007217185,1.29034033176667
"GRM7",26.2127961775374,8,0.000965748674747746,0.0017611247059315,0.771970853037911
"INSYN2A",26.1793749372171,8,0.000978573626599921,0.00178283017928148,1.91843428897548
"cxcr4a",26.0885630622425,8,0.00101426717697939,0.00184611907071672,1.08571446319129
"si:dkey-79d12.5",25.9600985555871,8,0.00106693942785407,0.00194016360681272,0.527727879056436
"s1pr2",25.9174688651112,8,0.00108500115031418,0.00197115340559898,0.971130224925058
"cntfr",25.8853731058648,8,0.00109879634255372,0.00199434115507638,1.23243572382422
"dusp19b",25.8471359459398,8,0.00111545473210239,0.00202267729564158,0.161649418557919
"gig2j",25.523108290479,8,0.00126687104210799,0.00229509065079169,2.56850828106853
"samd10b",25.4667188485207,8,0.00129519443006554,0.00234420490010926,1.17430359214184
"prdm1a",25.3663107981614,8,0.00134716350646746,0.002435984151545,1.46470288810818
"si:dkey-28k24.2.1",25.2178268389332,8,0.00142775970668063,0.00257930795608753,0.470721808570182
"mpz",25.163202739422,8,0.00145857604120203,0.002632518662599,2.93922257823711
"smad6b",25.1040441133573,8,0.00149268151209225,0.00269156097283053,0.627499656458334
"CT573344.1",24.7144836178502,8,0.00173746983787015,0.00313003652991893,0.918305299766313
"plekhg5b",24.6947370194178,8,0.00175086716284578,0.00315123484709581,0.261649971512992
"akap12a",24.5565430011,8,0.00184748081951192,0.00332202830150375,1.97274562733734
"tanc1a",24.5385415827697,8,0.00186044154371312,0.0033422244460943,0.2936692992766
"cxcl12b",24.5026630600164,8,0.00188653783477088,0.00338595880651079,0.985500646945851
"eya4",24.4059335555781,8,0.00195868066824911,0.00351217971403111,11.3025017945764
"pif1",24.3083484086719,8,0.00203417755683366,0.0036441753636325,9.74913050169305
"phlda2",24.3015825907605,8,0.00203951554999149,0.00365035514641995,1.9007912134563
"kctd12.2",24.09797714777,8,0.00220667817797304,0.00394589169104708,0.98413414258886
"CU464118.1",24.0280940871798,8,0.00226706499289897,0.00405012627659308,0.291926291552042
"CABZ01086127.1",23.9532525620761,8,0.00233351635806522,0.00416499272404439,0.49413547095717
"etv4",23.9481165949512,8,0.00233814527924125,0.00416940481990161,1.47264586966061
"pvrl2l",23.7959952610223,8,0.00247936448062047,0.0044171534940455,1.25845695992206
"col5a2a",23.6370840532168,8,0.00263572151545732,0.00469139013754973,4.30284518077876
"neo1b",23.6274250174098,8,0.00264552768428494,0.00470451243212769,0.620003711312066
"ccl38.1",23.5117091071398,8,0.00276579359710993,0.00491385939633594,1.30248770890688
"si:ch211-119e14.1",23.4669850217765,8,0.00281368317201702,0.00499435222360781,0.552689125858568
"plxnc1",23.3818676630309,8,0.00290705624775023,0.00515535754761577,0.624301697100477
"tspan9a",23.2003452582006,8,0.00311632708557219,0.00552141178406145,0.534497378912291
"epha3",23.1740011316297,8,0.00314788635632601,0.0055722200794672,0.685920255950665
"jag1b",23.1179179129488,8,0.00321610663752403,0.00568777139097342,0.23879476926798
"jdp2b",23.0378048806302,8,0.00331604677340336,0.00585915759870996,0.335094188553502
"sytl3",22.897983748561,8,0.00349772233015244,0.00617451804948372,2.15985849122814
"olfml2a",22.8536843853902,8,0.00355726625239294,0.00627390115499595,1.18383232390421
"gfra1a",22.8505900861081,8,0.00356146184224193,0.00627557496905529,2.03082004178733
"enah",22.6808091420859,8,0.00379915657484764,0.0066883148079968,0.844255635181784
"bcr",22.6266600301134,8,0.00387814263023512,0.00682115532688306,1.2890783799904
"slc2a1b",22.5321396825212,8,0.00401983867209077,0.00706395286650133,0.544916084791464
"gask1a",22.5137026227439,8,0.00404805530478924,0.00710707620722762,1.62000468074903
"elf1",22.3324643156519,8,0.00433581516836046,0.00760538177898436,0.640091641249435
"bcl11ab",22.3030465961743,8,0.00438434986170566,0.00768354332065008,1.4345107068149
"arl5c",22.2810308217436,8,0.00442101543811435,0.00774078155966942,0.283203094331329
"lamc3",22.1981062287175,8,0.00456179709570925,0.00798004867511854,1.10212624036382
"si:ch73-335l21.1",22.1823279459271,8,0.004589069869534,0.00802049914810961,2.41390770958781
"hsp90aa1.2",22.1692261894142,8,0.00461183585321046,0.00805300695958068,0.540839028187206
"stard13b",22.0723052915432,8,0.00478366820895471,0.00834551502518903,1.74350062858283
"pik3r5",22.0698601309593,8,0.00478808220933502,0.00834568341807448,0.647658926904515
"tmtc2a",21.6738723948209,8,0.00555722734752206,0.00967758600248662,2.31795386876838
"col5a1",21.3914733394833,8,0.00617710175117903,0.0107473786543916,1.11747019277252
"agbl4.1",21.3650695140821,8,0.00623834839170723,0.0108441793535702,0.346645959277813
"cadps2",21.3216067160841,8,0.00634044015113078,0.0110117437665191,0.758153804303018
"cep131",21.3137526211605,8,0.00635905971575768,0.0110341673523874,0.509555205628801
"tenm3",21.2765162564104,8,0.00644805368598755,0.0111785540583085,0.645220509320607
"hist1h4l.22",21.2106019380056,8,0.00660853324480437,0.011446500682981,4.34805653537193
"si:ch211-226l4.6",21.1450691040073,8,0.00677188858485489,0.011718944166987,1.98696941589869
"anxa5b",21.1103476491578,8,0.00686000623963989,0.0118608157971591,1.21051709453137
"mapk10",20.9088125275823,8,0.007393645848222,0.0127720441685551,1.49952102675105
"klf7a",20.7925797446169,8,0.00771931547750238,0.0133227114446537,0.497979024554468
"limk1a",20.778278442535,8,0.00776032485655853,0.0133815414341906,1.07902708213211
"arhgap20b",20.772057574468,8,0.00777822856768506,0.0134004597338104,0.580495024597915
"dgkb",20.7295193100436,8,0.00790172084293328,0.0136010920653518,0.795424419706319
"zgc:112234.1",20.7146793805293,8,0.0079452435234193,0.0136638396181223,1.38588860771893
"hsd3b7",20.7119198431438,8,0.00795336204716557,0.0136656434108187,0.383322217295909
"zgc:162730",20.6655628368119,8,0.00809093969688068,0.0138896859982863,0.206731654540968
"zic2a",20.3541253088642,8,0.00907617008512163,0.0155672021069566,1.41431705195825
"crygn2",20.3232004517309,8,0.00918004750596058,0.0157222652283671,3.61185642737072
"hist1h2a11",20.3223725636187,8,0.00918284399525426,0.0157222652283671,3.0575057848726
"cobll1b",20.2756231478304,8,0.00934208759546684,0.015980756922157,1.01675148295632
"ror1",20.251416519863,8,0.00942557895482576,0.01610932282907,0.343146455061695
"pcolce2b",20.1976980601109,8,0.0096134192015106,0.0164158474527562,1.32005901994314
"hoxa9a",20.0773071414588,8,0.0100474959974847,0.01714193271239,2.35468568390612
"XKR4",19.9984597804563,8,0.0103418794017579,0.0176286180631376,0.560300972095092
"sox6",19.9818899402764,8,0.0104047845397903,0.0177202189563125,0.467644137644751
"znf536",19.8639477129968,8,0.0108632208025723,0.0184846882142361,1.43930056750269
"nr3c2",19.8487650444615,8,0.010923618867881,0.0185711128158434,0.610856733272113
"ENSDARG00000115101",19.8389247193586,8,0.0109629358086477,0.0186215772566925,0.423335684834036
"cacna1aa",19.7833011151109,8,0.0111877337748763,0.0189867334388374,1.08278127074768
"cdh4",19.5472424924337,8,0.012191662491931,0.0206723540323708,1.82308359067257
"ism2a",19.2820925027211,8,0.013421677682268,0.0227380394038773,0.989141675051677
"p3h4",19.2132654495367,8,0.0137597830892567,0.0232904209382953,0.190613908682666
"alcamb",19.1545713089202,8,0.0140545015734744,0.0237684615411427,1.54725729626113
"sema5a",18.9395674979704,8,0.0151862034836961,0.0256599050122243,1.11796327332667
"scpp8",18.9260367323439,8,0.0152602475807587,0.0257624965708355,2.02098622146828
"pdgfbb",18.8937745552151,8,0.0154381814911212,0.026040143824029,1.23316194353592
"CR589876.1",18.8330837112066,8,0.0157782602242983,0.0265905640920389,1.74401031560575
"kita",18.8031220137788,8,0.0159487605941284,0.0268544897460368,0.975691596437645
"wnt5b",18.6644072230323,8,0.0167611769474251,0.0281978720969301,0.539587424279234
"pdzrn4",18.6121730683025,8,0.0170771525206757,0.0286948898834902,2.44269810281779
"slco3a1",18.6106745503833,8,0.0170863001841165,0.0286948898834902,0.35514233898682
"hapln1b",18.4543612183479,8,0.0180664436075605,0.0303146141435889,0.639687651869425
"gria4b",18.4206822026444,8,0.0182844860187585,0.0306538694486212,2.68759720164942
"ctss2.1",18.3754923208783,8,0.0185809677754316,0.0311239260917758,3.7138778912171
"atp2a3",18.3418179920881,8,0.0188048507842928,0.0314716680225438,5.28149000202004
"rasl10a",18.2301679042688,8,0.0195655518001399,0.0327164460464276,1.394191370401
"epb41a",18.2146681358329,8,0.0196734277531109,0.032868397447505,0.853716225949516
"pappaa",18.2044064385917,8,0.0197451566432545,0.0329597476609766,1.85147203550511
"hk2",18.1187695697684,8,0.0203534680331577,0.0339458616980966,0.829001628803933
"ptx3a",18.044239781521,8,0.0208972487490533,0.0348227429585517,12.0705354544477
"col12a1a",17.9311496096131,8,0.021748632644321,0.0362102557290892,0.706532731772814
"si:ch211-1e14.1",17.8959598449869,8,0.0220201600918989,0.0366307826657836,0.838781277480143
"hbegfb",17.738249348441,8,0.0232768001279113,0.0386879231704666,2.37461332988136
"mylk2",17.7337279079327,8,0.0233138043120673,0.0387161372295757,5.09859750851771
"hsp70l",17.6758337960858,8,0.0237925408360983,0.0394772372842729,0.633251501712594
"plch2a",17.6402903292968,8,0.0240910244419047,0.0399382077583206,1.0624065781034
"sostdc1a",17.6159140079405,8,0.0242977627353754,0.0402464227656219,2.64013083928856
"ppap2d",17.5857983008259,8,0.024555482356262,0.0406384823584371,0.853834200933539
"apobb.1",17.4878137843356,8,0.0254119003276833,0.0420198488737483,0.972547224316343
"edn2",17.4573531302042,8,0.0256838056556526,0.0424331592584415,0.693244024969705
"CABZ01064472.1",17.4385339576539,8,0.025853157472004,0.0426764759977658,1.53953876888011
"BX511034.7",17.2653478160094,8,0.0274616263323422,0.0452929383109364,1.18342780009269
"CU179759.2",17.2221256442457,8,0.0278774439636937,0.0459395559947314,1.8385711426939
"hpdb",17.1777396804183,8,0.0283105957972489,0.046613613011995,1.18534388306975
"b2m",17.03819663035,8,0.029713789795656,0.0488823452553217,0.561296634799457
"rhag",16.9900872856211,8,0.0302124656440241,0.0496604558587574,1.25200498197177
"itga10",16.9251810925593,8,0.0308976609459635,0.0507435672120199,1.55735314134363
"pdgfc",16.8897468117411,8,0.031277833514441,0.0513243227363451,0.577702753154337
"plod2",16.8260490270989,8,0.0319722566353232,0.0524193147379811,1.31761818789416
"arhgef10lb",16.7789980693647,8,0.0324944157429524,0.0532302590094297,2.2834984607011
"BX323453.1",16.7513139207157,8,0.032805355782065,0.0536941174654798,0.40361971382312
"fosl2",16.6801056354135,8,0.033617946663328,0.054977572673615,0.253108859076743
"ndnf",16.5875718295269,8,0.0347019449989585,0.0567023327835899,0.875103507667905
"rnf24",16.5550655980084,8,0.0350904102713853,0.0572886512285369,0.405770005364477
"zgc:194398",16.5381538834005,8,0.0352941113350209,0.0575725883633717,1.15347481526647
"tmtc2b",16.2958313487078,8,0.0383363539464066,0.0624824385989915,0.418207146248489
"si:dkey-68o6.5",16.2806104386062,8,0.0385353518415438,0.0627538627714441,0.673759783264348
"rhbdf1b",16.1908814980626,8,0.0397280853658828,0.0646417415928042,0.692259155706538
"si:ch73-208g10.1",16.1861587219798,8,0.0397918023377413,0.0646909620848224,2.33086394501971
"ptgs2a",16.072572809099,8,0.0413530728729687,0.0671726805575198,4.60156887811105
"KIRREL3.1",16.0248665696524,8,0.0420255747191752,0.06820775477092,2.41668886411916
"CABZ01030107.1",15.9008889917577,8,0.0438208639389083,0.0710618540217363,0.921834170957068
"dlg2",15.5273502576557,8,0.0496669788601072,0.0804746606341887,0.773138221279583
