"Gene","waldStat","df","pvalue","FDR"
"bmpr2b",5.344774727591,5,0.375267165620814,0.999999999996998
"birc5a",5.3407403478363,5,0.375725358911702,0.999999999996998
"rbfox3b",5.34043965410877,5,0.375759525581746,0.999999999996998
"zeb2b",5.33225616769993,5,0.376690247945931,0.999999999996998
"gfra1a",5.32732103684116,5,0.377252334980205,0.999999999996998
"ccl38.1",5.30554827448396,5,0.379739381442512,0.999999999996998
"col18a1a",5.28426256015215,5,0.382182194284518,0.999999999996998
"nr2f5",5.28338331513109,5,0.382283341408815,0.999999999996998
"slc27a4",5.28197142088308,5,0.38244580397013,0.999999999996998
"mcm5",5.27441899392616,5,0.383315681240145,0.999999999996998
"slit3",5.26380289842221,5,0.38454082407046,0.999999999996998
"BX005058.2",3.04504659031429,3,0.38473188984696,0.999999999996998
"fbln2",5.26179982973897,5,0.384772300792465,0.999999999996998
"plpp3",1.91005383915599,2,0.384801785711868,0.999999999996998
"brsk2b",1.90431801659529,2,0.385906947088712,0.999999999996998
"abcg2a",5.24678038523301,5,0.386511138781285,0.999999999996998
"pold1",5.23069225604646,5,0.388379913651924,0.999999999996998
"hspb1",4.12735079834307,4,0.389045065241645,0.999999999996998
"hist1h2a11.3",4.12203166949454,4,0.389742504910774,0.999999999996998
"cacna2d2a",4.11625887492413,4,0.390500510126357,0.999999999996998
"lhx6",5.21120001475733,5,0.390652708796919,0.999999999996998
"si:ch73-383g2.1",5.20708051676987,5,0.391134248104764,0.999999999996998
"nek1",4.10942976068228,4,0.391398670451659,0.999999999996998
"pvalb3",5.20210413171775,5,0.391716512179289,0.999999999996998
"hyal2b",1.86904163293641,2,0.392774031292462,0.999999999996998
"CT033796.2",5.17578908988274,5,0.394805712695013,0.999999999996998
"ece2b",5.16864512006657,5,0.395647322635378,0.999999999996998
"pcdh15a",1.84829151019108,2,0.396870298741702,0.999999999996998
"tubb2b",5.15465916054181,5,0.397298621233408,0.999999999996998
"lama5",1.84587186412565,2,0.397350732131211,0.999999999996998
"mical2a",5.15112525068822,5,0.397716629177943,0.999999999996998
"ier5l",5.14920300563863,5,0.397944131186281,0.999999999996998
"inpp5l",5.14740714820632,5,0.398156757414423,0.999999999996998
"hs6st1a",5.12239430267912,5,0.401126510277706,0.999999999996998
"si:ch211-149k12.3",1.82609548791426,2,0.401299300836541,0.999999999996998
"dkc1",5.11718190445116,5,0.401747317144272,0.999999999996998
"glsb",5.11589637702329,5,0.401900528957122,0.999999999996998
"sema5ba",4.02994546449675,4,0.40196834142415,0.999999999996998
"BX465834.1",1.81889109822571,2,0.402747465829336,0.999999999996998
"tmem198a",5.10788703593475,5,0.402856016150078,0.999999999996998
"bnipl",1.81111318527466,2,0.404316782719256,0.999999999996998
"hsp90b1",5.09427618414892,5,0.404483368797838,0.999999999996998
"plekha1b",5.09367671128767,5,0.404555148360147,0.999999999996998
"spaca4l",5.0931110416778,5,0.404622888505418,0.999999999996998
"pln",1.80725603719982,2,0.405097289960382,0.999999999996998
"lgals2b",1.80616279653516,2,0.405318784906953,0.999999999996998
"tmem255a",1.80481829128085,2,0.405591353132029,0.999999999996998
"bcl10",1.79429793553444,2,0.407730456894157,0.999999999996998
"ckap5",5.05416575481959,5,0.409305584377619,0.999999999996998
"gdpd5b",5.04752625260027,5,0.410107619217992,0.999999999996998
"zgc:173552.3",5.04351671531843,5,0.410592484493174,0.999999999996998
"kcnd2",1.77999456873784,2,0.410656867943385,0.999999999996998
"baz1b",5.03323109773543,5,0.411838104996092,0.999999999996998
"cbx4",5.02719765658958,5,0.412569979212494,0.999999999996998
"ypel1",5.02337147203848,5,0.413034568328036,0.999999999996998
"nexmifb",2.86354346535706,3,0.41314606987431,0.999999999996998
"tenm1",1.76716689579426,2,0.413299218684913,0.999999999996998
"tpx2",5.01874313502592,5,0.413597036309185,0.999999999996998
"tnfrsf19",5.01617757912359,5,0.413909046330097,0.999999999996998
"rcan2",1.76247479526486,2,0.414269977705785,0.999999999996998
"scube3",5.00436148487993,5,0.415348136933173,0.999999999996998
"ncl",5.00256387169474,5,0.41556736842342,0.999999999996998
"sema6d",5.00141133478276,5,0.415707969861663,0.999999999996998
"ssbp3a",5.00042233200241,5,0.415828647132236,0.999999999996998
"zbtb46",4.99907897399978,5,0.415992600762106,0.999999999996998
"lbx2",2.8424280537742,3,0.416563044769357,0.999999999996998
"camk1b",4.98198267802234,5,0.418083007732382,0.999999999996998
"si:ch73-281n10.2",4.9788114333433,5,0.418471547101707,0.999999999996998
"cdca7a",4.97619365729018,5,0.418792460308753,0.999999999996998
"samd10a",1.73607369919969,2,0.419774821988891,0.999999999996998
"klf2b",4.96052710109447,5,0.420716509373219,0.999999999996998
"serpine1",4.95867646010148,5,0.420944185427133,0.999999999996998
"hist1h2a11.2",4.95218381283367,5,0.421743604780535,0.999999999996998
"rrm2",4.94464371928905,5,0.422673277602638,0.999999999996998
"si:dkey-166k12.1",1.7209623112581,2,0.422958524475268,0.999999999996998
"ctnnd2a",4.93756071109526,5,0.42354784962161,0.999999999996998
"gria4b",1.71616785463722,2,0.423973668904621,0.999999999996998
"ncapd2",4.93149012411134,5,0.424298381231024,0.999999999996998
"cxcl12b",1.7137962836928,2,0.424476708911631,0.999999999996998
"BX510306.1",1.71256226893546,2,0.424738694988463,0.999999999996998
"nfkb2",1.70470432053812,2,0.426410764971204,0.999999999996998
"slc29a1a",4.90625108478505,5,0.427428351932367,0.999999999996998
"ppp1r1b",1.69012905233889,2,0.429529641414096,0.999999999996998
"fam13a",4.88041216502671,5,0.430648652229695,0.999999999996998
"dab1a",2.75385385573287,3,0.431152836402269,0.999999999996998
"top2a",4.86477098689841,5,0.432605821349758,0.999999999996998
"nhsl1b",4.86398059201327,5,0.432704878955731,0.999999999996998
"ptprfb",4.84866468291471,5,0.434627331873744,0.999999999996998
"mafa",4.84030955898045,5,0.435678437519553,0.999999999996998
"hist1h4l.9",4.83905347919015,5,0.435836601550359,0.999999999996998
"ephb4a",4.83644376410787,5,0.436165334384756,0.999999999996998
"LO018188.1",4.83355714488262,5,0.436529137217846,0.999999999996998
"rrm2.1",4.83351457638154,5,0.436534503649598,0.999999999996998
"cenpp",4.83037628176155,5,0.436930254567857,0.999999999996998
"arrdc1b",4.81327260334586,5,0.439091227852863,0.999999999996998
"CR936518.2",4.81111622704373,5,0.439364171736059,0.999999999996998
"atp11c",4.80796113972183,5,0.439763727377681,0.999999999996998
"ednraa",4.80343833931628,5,0.44033690170787,0.999999999996998
"runx2a",1.63819169414567,2,0.440830052154696,0.999999999996998
"ek1",1.63784075205767,2,0.440907411851169,0.999999999996998
"scn1ba",1.63512608110948,2,0.441506277460891,0.999999999996998
"trim35-31",1.63373486060414,2,0.441813500595505,0.999999999996998
"anln",4.78967702280139,5,0.442083865615065,0.999999999996998
"klf4",4.78605717861594,5,0.442544143045869,0.999999999996998
"cdc14b",4.78564562848715,5,0.442596492955956,0.999999999996998
"bhlhe41",1.62789582749184,2,0.443105267174641,0.999999999996998
"ggps1",1.62411640351804,2,0.443943400175053,0.999999999996998
"efna5a",4.77495935338833,5,0.443957212645212,0.999999999996998
"MYO1D",1.62236660511649,2,0.444331975858548,0.999999999996998
"zgc:173552.5",4.76669857099176,5,0.445010940301803,0.999999999996998
"nr4a1",4.76286825144498,5,0.445500075576861,0.999999999996998
"cebpa",1.61503292804074,2,0.445964260304057,0.999999999996998
"ahrra",1.61318701661155,2,0.446376055571774,0.999999999996998
"klf2a",4.75538947193079,5,0.446456122048635,0.999999999996998
"unc5a",4.73980128537277,5,0.448453073801086,0.999999999996998
"hoxd3a",3.68605271071448,4,0.45015772732283,0.999999999996998
"zfpm2a",4.71994966434296,5,0.451004480541159,0.999999999996998
"arhgap27",3.67800879812462,4,0.451332494809385,0.999999999996998
"znf536",4.7063295523897,5,0.452760339253405,0.999999999996998
"ackr3b",4.70044362315389,5,0.45352047721081,0.999999999996998
"kif21b",4.69294369454188,5,0.454490228100108,0.999999999996998
"asic2",1.57313482758083,2,0.455405333476603,0.999999999996998
"fam83d",4.68526899034488,5,0.45548393667372,0.999999999996998
"kaznb",4.68497552340932,5,0.455521961567432,0.999999999996998
"si:ch211-210g13.5",4.68024389976355,5,0.456135321147429,0.999999999996998
"cux2b",4.67760632065158,5,0.456477456352106,0.999999999996998
"si:ch1073-153i20.5",3.63873931203352,4,0.457098524189574,0.999999999996998
"hist1h4l.14",4.6719745093143,5,0.457208531910403,0.999999999996998
"sat1a.1",3.63485277413521,4,0.457671982205773,0.999999999996998
"zgc:162730",4.66052780018693,5,0.458696720506383,0.999999999996998
"hoxb5a",4.65952868761642,5,0.458826759554266,0.999999999996998
"rgs12a",4.65427631297812,5,0.459510760459909,0.999999999996998
"apln",4.65289891049494,5,0.459690241179872,0.999999999996998
"jdp2b",4.65201628347684,5,0.45980527388495,0.999999999996998
"myca",4.64568642661131,5,0.460630771680599,0.999999999996998
"ldb2a",4.64381613098785,5,0.46087486047124,0.999999999996998
"epas1b",3.61219732674158,4,0.461024763394744,0.999999999996998
"slco1d1",1.54566615990026,2,0.461703171667845,0.999999999996998
"hsp70l",4.63612697642789,5,0.46187920638464,0.999999999996998
"bmp5",1.54334514152034,2,0.462239293468569,0.999999999996998
"rgs4",4.63198846395039,5,0.462420337339488,0.999999999996998
"CR848683.2",4.62975476957299,5,0.462712567929846,0.999999999996998
"si:ch211-156j22.4",4.62682967406967,5,0.463095427164216,0.999999999996998
"hopx",1.53808985290698,2,0.463455491083973,0.999999999996998
"kif4",4.62052841718631,5,0.463920853534776,0.999999999996998
"gli2a",1.53080307570423,2,0.465147119295645,0.999999999996998
"echdc2",3.58075020271714,4,0.465706780344702,0.999999999996998
"CABZ01005379.1",4.60473863313155,5,0.465993225004203,0.999999999996998
"phlda2",1.52693712011931,2,0.466047107896232,0.999999999996998
"neo1a",4.59860047817773,5,0.466800385552666,0.999999999996998
"meis1b",4.59708487069388,5,0.466999818937214,0.999999999996998
"nptna",4.59570482495654,5,0.467181459912001,0.999999999996998
"evla",2.53395195185548,3,0.469186441255357,0.999999999996998
"lrrc4ca",4.57783216458071,5,0.469537777811779,0.999999999996998
"snx22",4.57712984542811,5,0.469630519666757,0.999999999996998
"pde4d",4.57232198491088,5,0.470265703098963,0.999999999996998
"CU179759.2",4.5697848509986,5,0.470601104601115,0.999999999996998
"smad6a",4.56457281845304,5,0.471290578218062,0.999999999996998
"sept9a",4.56262209249989,5,0.47154878846194,0.999999999996998
"e2f8",4.5587738192595,5,0.47205842280792,0.999999999996998
"CABZ01068358.1",4.54943721784747,5,0.473296280577302,0.999999999996998
"tgfbr3",4.54411439102923,5,0.474002869157723,0.999999999996998
"BX649276.1",1.48983467034423,2,0.474773545391195,0.999999999996998
"sh2d3ca",4.53616877716337,5,0.475058813658689,0.999999999996998
"podxl",4.52708101523388,5,0.476268288319014,0.999999999996998
"BX942846.1",4.52694505652662,5,0.476286396926894,0.999999999996998
"zgc:171759.4",3.5091968671158,4,0.476481319263182,0.999999999996998
"hs3st4",1.48235079867815,2,0.476553445592587,0.999999999996998
"alcamb",4.5116853269872,5,0.478321505479333,0.999999999996998
"si:ch211-266k2.1",1.47304432579974,2,0.478776128775462,0.999999999996998
"AL929216.1",1.46798111117995,2,0.479989737465019,0.999999999996998
"ece2a",4.49748766866633,5,0.480219649800436,0.999999999996998
"deptor",1.4669207614801,2,0.480244283423014,0.999999999996998
"adgrb1a",4.49642218588466,5,0.480362280066676,0.999999999996998
"CABZ01086127.1",4.49309427048199,5,0.480807932452322,0.999999999996998
"wbp2",1.46453179058755,2,0.480818270971859,0.999999999996998
"nudt19",1.46404157102314,2,0.480936138678212,0.999999999996998
"CABZ01027646.1",1.4550816256729,2,0.483095552884639,0.999999999996998
"dip2a",4.47574188617462,5,0.483135636922107,0.999999999996998
"si:dkey-172h23.2",4.46851009357936,5,0.484107703370289,0.999999999996998
"chaf1b",4.45968676286772,5,0.48529526261834,0.999999999996998
"hey2",2.44430684714817,3,0.485440209914229,0.999999999996998
"si:dkey-65b13.1",3.44870082239032,4,0.485721243486789,0.999999999996998
"fam174b",4.45421891071149,5,0.486032059186041,0.999999999996998
"ptprc",4.45264996667854,5,0.486243596923243,0.999999999996998
"CR376783.1",4.42927646259742,5,0.48940139967796,0.999999999996998
"mpped2a",4.42479264180303,5,0.490008538590226,0.999999999996998
"adarb1b",4.42469330542861,5,0.490021994357277,0.999999999996998
"zgc:163040.1",4.42419557746136,5,0.49008941813326,0.999999999996998
"rbpjb",4.41701854476741,5,0.491062241360136,0.999999999996998
"syt11a",1.42215729562775,2,0.49111417242873,0.999999999996998
"socs7",1.42193962114971,2,0.491167626848163,0.999999999996998
"esco2",4.4085382821506,5,0.492213157203376,0.999999999996998
"vash2",4.40695600822686,5,0.492428071525082,0.999999999996998
"prkcz",3.40336977903987,4,0.492722433856319,0.999999999996998
"aldh1a2",1.40543027463748,2,0.495238835251815,0.999999999996998
"fabp3",4.37945383376179,5,0.496172236607791,0.999999999996998
"CU459186.2",2.38311548515747,3,0.496785408717197,0.999999999996998
"si:ch1073-159d7.7",4.3735594969077,5,0.496976815755914,0.999999999996998
"tmem88b",4.36618400436836,5,0.497984622427242,0.999999999996998
"cdkn1ca",1.3898591797686,2,0.499109589111894,0.999999999996998
"cacna2d1a",1.38499734017443,2,0.500324360400555,0.999999999996998
"prickle2b",1.38310928230814,2,0.500796904085092,0.999999999996998
"pim1",4.34236960491766,5,0.50124661327277,0.999999999996998
"btg2",1.38102329742924,2,0.501319503956236,0.999999999996998
"ptx3a",4.33548847781294,5,0.502191404158048,0.999999999996998
"ebf2",4.33415933310573,5,0.502374013593583,0.999999999996998
"CABZ01058261.1",4.33309892259295,5,0.502519728787508,0.999999999996998
"kif20a",4.32602480036066,5,0.50349241963812,0.999999999996998
"cyp26a1",1.37158526105958,2,0.503690830577927,0.999999999996998
"tox2",4.313050020581,5,0.505279190498858,0.999999999996998
"fndc3ba",4.31199142484915,5,0.505425126944487,0.999999999996998
"cenpi",4.30807376638203,5,0.505965413938224,0.999999999996998
"BX511025.1",2.33225367401423,3,0.506370134815121,0.999999999996998
"cds1",4.2942347716452,5,0.507876529287437,0.999999999996998
"kif23",4.29224910300643,5,0.508151070777635,0.999999999996998
"adgrl1a",4.28507520225646,5,0.509143628377792,0.999999999996998
"CABZ01118738.1",1.34737809659982,2,0.509824337790683,0.999999999996998
"nes",4.26858330720302,5,0.511429439150468,0.999999999996998
"cd7al",2.29917195207662,3,0.512679557538715,0.999999999996998
"pknox2",4.25099037748781,5,0.51387403730762,0.999999999996998
"cntln",4.24772735271789,5,0.514328143820528,0.999999999996998
"mtf2",4.2440904193694,5,0.514834542709262,0.999999999996998
"igsf9bb",4.23528830439425,5,0.516061247241573,0.999999999996998
"mgll",4.22890120950164,5,0.516952369944086,0.999999999996998
"pdzrn4",4.22072009025369,5,0.518095001872841,0.999999999996998
"skp2",4.21860172384039,5,0.518391088295509,0.999999999996998
"serpinf1",4.2144622272825,5,0.518969931753689,0.999999999996998
"kcnt1",1.3080022865703,2,0.519961169993039,0.999999999996998
"BX005454.1",2.25612874225479,3,0.520977533267957,0.999999999996998
"glis1b",1.30183709344444,2,0.521566473488849,0.999999999996998
"mylka",1.2965941420146,2,0.522935541037446,0.999999999996998
"ubald2",3.21058429603882,4,0.523223099103788,0.999999999996998
"bag3",1.29234210514858,2,0.524048494297332,0.999999999996998
"ndst2b",4.1638048553426,5,0.526081345543971,0.999999999996998
