"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"lef1",309.187841659436,8,0,0,1.01104921464753
"myo6b",308.953079097145,8,0,0,0.923999306442423
"baz1b",308.74214958912,8,0,0,0.639696468423918
"msna",305.55296275247,8,0,0,0.328786346268701
"tmem169a",304.14745911418,8,0,0,1.55843855548545
"hmgb2b",302.953401475671,8,0,0,0.36931401102457
"ssrp1a",302.029395712317,8,0,0,0.787155441482654
"pappab",300.654233706218,8,0,0,2.75308870462284
"mki67",299.776772889738,8,0,0,1.57770095300806
"sema4c",299.211852366981,8,0,0,0.567255965465214
"tmem108",291.329104117335,8,0,0,0.428310877430702
"spock3",290.818132948724,8,0,0,0.611419228558791
"pa2g4a",288.335133215218,8,0,0,0.664883637803091
"aqp1a.1",287.942056682008,8,0,0,2.54928060853542
"pcdh17",286.376319214871,8,0,0,0.561386815739329
"icn",286.181483748175,8,0,0,1.06251985866753
"vav3b.1",285.689729656761,8,0,0,6.12507108212327
"si:ch73-386h18.1",285.436102114058,8,0,0,0.663949520476551
"zmiz1a",284.175262659268,8,0,0,1.04091505178799
"jarid2b",282.032385189884,8,0,0,0.881135864660879
"her6",281.430064126444,8,0,0,1.39777887878127
"tenm4",280.283946233868,8,0,0,2.10905179842986
"prmt1",277.04030663975,8,0,0,0.582913080488293
"tubb5",277.000879972386,8,0,0,1.41520688579011
"CABZ01086877.1",276.964794177618,8,0,0,0.98889601764289
"cnbpa",275.957384459887,8,0,0,0.485293681883754
"snrpe",274.678498594941,8,0,0,0.414910596250276
"rbpjb",274.294443174947,8,0,0,1.36230070467261
"cycsb",273.949627118794,8,0,0,0.631893785789028
"g3bp1",273.66928905249,8,0,0,0.708419536034618
"kcnq5b",272.274131819207,8,0,0,3.33681249059257
"top2a",271.757182158343,8,0,0,1.9538233947309
"strbp",271.22768736563,8,0,0,1.13428608378567
"zgc:153409",267.870118069915,8,0,0,0.646488159350413
"dusp5",267.669104091585,8,0,0,0.448797473487897
"nop58",267.339830970824,8,0,0,0.771128229285794
"UNC13B",265.227412706509,8,0,0,2.24846232047207
"gata4",264.446286008218,8,0,0,3.74060417184403
"nr2f2",264.224843893437,8,0,0,1.01655375240311
"CABZ01075125.1",263.800858371694,8,0,0,1.41051251269731
"rrm1",262.956243329045,8,0,0,0.86478340946009
"nop56",262.723698755934,8,0,0,0.580144967142608
"banf1",262.689945674521,8,0,0,0.420964497402634
"smc2",261.715336159085,8,0,0,1.06465273125678
"eya2",260.440926048679,8,0,0,0.862124741777082
"psd2",259.871592455682,8,0,0,1.25906899828828
"dkc1",258.979336133389,8,0,0,0.735467819637897
"pbx1b",258.00534833011,8,0,0,0.540399671562772
"fam169aa",257.737289951047,8,0,0,1.42028580504667
"nutf2l",257.255395363363,8,0,0,0.573737194893052
"ipo7",255.430332087368,8,0,0,0.458373590477445
"gars1",255.177356749893,8,0,0,0.627345079953643
"hmgb2a",254.814612913004,8,0,0,0.463787839872053
"nfia",254.356655756085,8,0,0,0.813491383030962
"arid5b",253.718671508133,8,0,0,0.552720535321428
"bmp1a",251.572568087059,8,0,0,1.70243738254729
"pknox2",251.082898472507,8,0,0,0.757455402609018
"chl1a",250.459810326626,8,0,0,1.14097793682337
"fbl",250.21630605865,8,0,0,0.568695063824354
"marcksl1a",249.444730110102,8,0,0,0.454743972828691
"si:ch211-156b7.4",248.186309995508,8,0,0,0.730562353674745
"eif3s10",247.272573298576,8,0,0,0.410034798780443
"prex2",246.923415706401,8,0,0,0.521175247421109
"ptges3b",246.440067275499,8,0,0,0.596790121734064
"erfl3",245.609331137804,8,0,0,0.45693897383373
"slco2b1",244.718702229066,8,0,0,2.05571629341843
"coro2ba",243.893132060401,8,0,0,1.24311375481788
"gpc6a",242.930616725027,8,0,0,3.53315721282604
"lpar1",242.233619551786,8,0,0,0.541988808998663
"med6",241.585967549679,8,0,0,0.973327329502158
"CABZ01058261.1",240.951350734426,8,0,0,1.1939074019037
"si:ch211-152c2.3",240.572798114363,8,0,0,2.72134194933681
"ppm1g",239.840212903721,8,0,0,0.5374634538358
"atrx",238.261900889626,8,0,0,0.50989163810474
"wnt11",237.758068782599,8,0,0,2.7647432077071
"si:ch211-51a6.2",237.56474440037,8,0,0,1.09888843457203
"mmrn2a",235.784845576514,8,0,0,1.90149053795019
