"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"im:7152348",6.42009912342052,8,0.600283244793966,0.792177068949414,0.897786704074634
"lrrc4ca",6.4013183247031,8,0.602372987356239,0.794392226329184,1.06779161165944
"cyp26a1",6.29918723301422,8,0.613757278970329,0.808853385382453,0.881671255795053
"dab1a",6.27471708362746,8,0.616489342049055,0.811900074191393,0.225132894840666
"BX294178.3",6.24754301106415,8,0.619525004922821,0.815342172691342,0.997841889285341
"ces2b.1",6.22345845953297,8,0.622216903843943,0.818327473265144,0.497003160237951
"slc22a7a",6.19181780165689,8,0.625755088949812,0.822420974048324,0.272117939182448
"BX000522.1",6.17121778773307,8,0.628059614444187,0.824888630255724,1.30192143190618
"en2a",6.1572995443722,8,0.629617027166377,0.82637234815587,3.65328382749531
"dub",6.13938552105921,8,0.63162196074082,0.828084485937193,1.24497658426086
"srrm4",6.13798483192256,8,0.631778743411709,0.828084485937193,0.778473390387143
"si:dkeyp-97a10.1",6.12139789555094,8,0.633635542032487,0.829955164207976,6.25147145592183
"dlgap1b",6.07268711905642,8,0.639090005878265,0.836532446718704,0.507471466167116
"cpne9",6.02330632158955,8,0.644621113231014,0.842778691397699,1.57076871419297
"sdk2a",6.02229479115112,8,0.644734423336335,0.842778691397699,6.84002942226923
"f13a1b",5.97262319272012,8,0.650298631481081,0.849477319825185,0.35994691694231
"selp",5.96105660177135,8,0.651594271262335,0.850594683837048,0.49896131508116
"si:ch1073-185p12.2",5.92194268485113,8,0.655975195023015,0.855735365823407,0.772417431669076
"rundc3aa",5.896802962129,8,0.658790389720367,0.858827957449223,2.07116277117509
"si:ch211-160j14.2",5.87517348423347,8,0.661212010499592,0.861403644157257,1.57560591543605
"MFAP4.3",5.7184274434553,8,0.678738366037741,0.883640514275549,2.19310290161136
"ctnna2",5.70374298422211,8,0.680377429964019,0.885177908882481,0.198451772406985
"slc2a11b",5.64803452852025,8,0.686589591556829,0.892658876775097,0.448930158485548
"cdo1",5.60446814220887,8,0.6914403485741,0.897996136352779,7.97923279540073
"tnnt2a",5.60281425888024,8,0.691624353464252,0.897996136352779,2.67952979767856
"tnn",5.59485636233862,8,0.692509567692935,0.898541628463902,0.41969592454243
"foxd5",5.57858760198366,8,0.694318459907637,0.900284070162117,2.2498990565566
"ank2b",5.5672379448322,8,0.695579751183466,0.901314607167308,0.349966852897955
"dachc",5.54180599769391,8,0.698403969114428,0.904367606118683,0.987191541301687
"irs2b",5.47134700139842,8,0.706212397805903,0.913866277669796,0.509786058737404
"shisa9a",5.46261237512223,8,0.707178617276458,0.914332531636547,1.92729363432047
"si:dkey-238i5.2",5.45826989763147,8,0.707658825697391,0.914332531636547,0.853667564190233
"foxl2a",5.45196347544968,8,0.70835603044199,0.914332531636547,1.41923852573792
"CABZ01118738.1",5.45097098478713,8,0.708465734917138,0.914332531636547,8.49958293019707
"palmda",5.41991646278286,8,0.71189550725843,0.917992630053203,7.48658723747116
"rflnb",5.41668531035726,8,0.712252045781445,0.917992630053203,1.14679785072568
"mcama",5.39055503835239,8,0.715133055325852,0.920507741940668,1.46330978543658
"agbl4",5.39034335824859,8,0.715156377149556,0.920507741940668,0.834079928130215
"gdf11",5.37083448380732,8,0.717304552307601,0.922561329316456,0.612864662737825
"zgc:153704",5.36717831353911,8,0.717706872651467,0.922561329316456,0.862274589467502
"tbx2a",5.36178890369371,8,0.718299758218995,0.922709529839826,1.45983793533493
"FP236476.1",5.35046027040828,8,0.719545392024697,0.923695479994495,1.07881611147908
"rbfox1",5.32507815155673,8,0.722333136587741,0.926207517903985,0.514962024484109
"tmem200a",5.3239126366365,8,0.722461040104195,0.926207517903985,2.61146453320936
"si:ch1073-475a24.1",5.26098203599753,8,0.729352521485058,0.934422461212952,1.20008045237089
"chrm2a",5.2281358238798,8,0.732937589830708,0.938393256164962,1.26759898990799
"pip5kl1",5.21566653441051,8,0.734296324612835,0.939510264339071,1.88652441241438
"gyg2",5.19705088071563,8,0.736322430937588,0.941479110901006,5.59697300209244
"lrrc38b",5.18557693190199,8,0.737569796655562,0.942450295726551,3.59093235344981
"cacna1g",5.1341532814603,8,0.743146161336312,0.94894803945919,0.622767992202631
"stc1",5.11116657556032,8,0.74563112241659,0.95149229095697,1.92496777488132
"sorcs2",5.07713470338559,8,0.749300960852249,0.955544195621482,1.94146641489503
"cers6",5.0635699200287,8,0.750760590462204,0.956774050641806,4.86950528722029
"dapp1",5.0404411966588,8,0.753245106285471,0.959102358238574,3.64501091159921
"cracr2ab",5.03731580044494,8,0.753580424330308,0.959102358238574,1.3574824863253
"il1b",5.00902305413629,8,0.756611301843062,0.962325895431729,1.17249370280166
"ccl25b",4.94372196673679,8,0.763573938547093,0.970542663995384,0.988913296589725
"nectin1a",4.89091454022925,8,0.769169207679126,0.977005421191019,2.25868099009982
"si:ch211-266k2.1",4.88617387415789,8,0.769669902201206,0.977005421191019,6.57295268697666
"TCERG1L",4.82648846548163,8,0.775950132984489,0.984330700542372,0.870787369987671
"thbs1a",4.80018046791993,8,0.77870405064786,0.987176001215003,1.51658587771403
"wfdc1",4.78379614507874,8,0.78041460514762,0.988428016280633,1.03373153170925
"sned1",4.78091647053832,8,0.780714882424558,0.988428016280633,1.93345127292662
"adrb3a",4.74714440759766,8,0.784228152151819,0.992225795649845,1.32998442517516
"BX649276.1",4.73484333089084,8,0.785503962203594,0.992870965258954,0.910830704805894
"vax2",4.72809895067587,8,0.786202569954533,0.992870965258954,1.59754153082828
"osr1",4.72735297831576,8,0.786279801680227,0.992870965258954,0.451701113572793
"bmp7b",4.71004682885702,8,0.788069348216872,0.99448071897779,0.288592298150128
"lmo1",4.66886459207683,8,0.79231065861535,0.99918028227471,0.916098370430861
"ncam3",4.66127726105559,8,0.793089385465427,0.999509910449579,0.660968948044452
"ccdc141",4.64116734369684,8,0.795149253472651,1,0.276962231569848
"lpar3",4.63120421429122,8,0.796167544383379,1,1.64064874390496
"BX248082.2",4.62395021386896,8,0.79690800442754,1,0.70115677797721
"fkbp16",4.60800887728213,8,0.798532420803198,1,0.804374577277204
"cacna2d2a",4.59328169530396,8,0.800029644783688,1,0.179451158179613
"CR392045.1",4.57236026090372,8,0.802150793058257,1,2.9062536678064
"col27a1b",4.56903033265444,8,0.80248776718502,1,0.419216690123894
"ccl39.7",4.56211697721549,8,0.803186806960408,1,1.22804692459707
"fstb",4.55133947566638,8,0.804275047822155,1,2.24934312588352
"CABZ01069040.1",4.51686566989753,8,0.807743387141749,1,1.19265775432866
"si:ch211-136m16.8",4.50448731267659,8,0.80898399786706,1,0.514458396406179
"CR925763.1",4.48881263176322,8,0.810551322838379,1,1.14889339695007
"fabp11b",4.46811500574258,8,0.812614561724992,1,2.2603782757527
"zgc:152977",4.4641332951629,8,0.813010642952202,1,3.97375956805806
"runx3",4.46100783585758,8,0.813321358509078,1,1.69043912983495
"cryba4",4.43620300205538,8,0.815781346607727,1,11.3265231629023
"CR854927.3",4.41232757181297,8,0.818139028455337,1,17.5168586703981
"dpyda.3",4.40528876673108,8,0.818832183957707,1,0.306616081867903
"lpin1",4.3583344605036,8,0.823433288760773,1,0.998632909295505
"foxg1d",4.27534484091696,8,0.83146568539587,1,58.1637132722647
"CR385065.1",4.26239037169432,8,0.832707661529816,1,4.32062766092807
"CABZ01077176.1",4.26130441820838,8,0.832811626077682,1,3.24849937568726
"BX072554.1",4.25276358231944,8,0.833628485173831,1,1.64841584678158
"asip2b",4.23689452811863,8,0.835142419182,1,0.621267584767493
"si:ch211-264f5.8",4.23146399490558,8,0.835659357294583,1,10.5323186593068
"ccdc13",4.19706303452982,8,0.838920321619908,1,0.727514795305151
"zgc:171686",4.15473000353775,8,0.842900191526026,1,1.06223220599587
"her15.2",4.14798546379073,8,0.843530851956278,1,1.03597873911697
"vwf",4.08319607724983,8,0.849540243972037,1,0.385591002363466
"mmp30",4.07604956170213,8,0.850197605361825,1,1.91475936864434
"irx4b",4.07141490720893,8,0.850623325118793,1,2.79892653087505
"ca14",4.06680613027479,8,0.851046204725876,1,0.837400322890204
"lhx8a",4.06389781300628,8,0.851312819997437,1,1.3734032316456
"BNC1",4.04178989465379,8,0.853333470803279,1,3.44436267260459
"chodl",4.01788529771078,8,0.855506189078876,1,3.87797572611113
"prlra",4.00436204549566,8,0.856729686955826,1,3.51781064298701
"foxf2b",3.99447012080883,8,0.857622040484044,1,0.753028642852699
"gpm6aa",3.9888670899108,8,0.858126510459919,1,0.436023014320091
"ncam1a",3.98833314960347,8,0.8581745467497,1,0.226581418877637
"hapln1a",3.98622500178487,8,0.858364144450753,1,0.857746502541454
"si:dkey-65b13.1",3.9737485748583,8,0.859484150538753,1,0.758538503997067
"vwde",3.96889834843322,8,0.859918595314411,1,3.39605591152176
"si:dkeyp-41f9.4",3.94893392037084,8,0.861701162585391,1,10.6808150880219
"rgs13",3.89690623135967,8,0.866303032057889,1,0.74453454726953
"tbc1d10c",3.88240551363966,8,0.867574259588378,1,0.647667524111955
"rbp1.1",3.86765963875694,8,0.868861833777814,1,2.56873001026618
"rcn3",3.86419704486135,8,0.869163423144383,1,0.315209576999964
"antxr2b",3.86416391079671,8,0.869166307704265,1,2.7838052669829
"tirap",3.85817603007125,8,0.869687161916593,1,1.90162515842805
"BX510306.1",3.8448583165962,8,0.870842495034983,1,1.24176860178452
"BX927333.1",3.84301431173939,8,0.871002126759737,1,0.608097005882194
"pde4cb",3.78141448867916,8,0.876286820510002,1,0.973323624702927
"chrm3a",3.75081821342695,8,0.878876670787631,1,0.71308597304539
"AL772219.1",3.7507172267071,8,0.878885179908258,1,14.7829409415336
"dapk2b",3.74497217134899,8,0.879368832517271,1,1.0487333909731
"cpne5b",3.70402327212643,8,0.882791825451827,1,0.761672818999598
"klhdc8b",3.69752229980909,8,0.883331300864012,1,1.58149644870677
"rca2.2",3.69540509453189,8,0.883506759265261,1,0.502571128878289
"BX649313.1",3.65472259292045,8,0.886855622809667,1,3.245759296047
"C11H3orf14",3.62454819113571,8,0.889311475381165,1,0.531130799742235
"si:ch211-175m2.5",3.62279516765841,8,0.889453411429805,1,0.849180037755367
"CABZ01059403.1",3.59889373723267,8,0.891380460809349,1,1.35416434317646
"si:ch211-197h24.8",3.57252093678224,8,0.893488999477587,1,5.95835945542764
"RNF14",3.52652886646463,8,0.897121020186103,1,1.52102780928606
"slc25a15a",3.52080410337231,8,0.897569059525031,1,0.959945954264162
"VSTM2B",3.5026535157371,8,0.898983613243255,1,5.69003415360331
"CABZ01072077.1",3.4805493528263,8,0.900693960031784,1,1.1748088859904
"pdlim3b",3.4771377535481,8,0.900956726638446,1,1.50154467427393
"CU075735.2",3.47605409904249,8,0.90104012337245,1,6.9578419165369
"tmem255a",3.46712379779432,8,0.901726138413763,1,0.929654518606523
"he1.1",3.4515158758492,8,0.902919751947574,1,0.895925942565906
"BX001047.1",3.41860134238445,8,0.905414364904813,1,1.05574862885953
"si:dkey-185m8.2",3.38075802334719,8,0.908244440172033,1,0.652439098818306
"tppp3",3.36007518038249,8,0.909773808969315,1,7.16909834104545
"dct",3.33526910610462,8,0.911591736469145,1,0.632348041611964
"unc5a",3.31685311214221,8,0.912929775979329,1,0.422163932275683
"tspan33a",3.30119381880045,8,0.914059714123076,1,0.889576442907122
"cd7al",3.27831738886543,8,0.915697456369806,1,0.542912415094486
"adgrl1a",3.2782168055298,8,0.915704623101573,1,0.479109428788273
"gfi1ab",3.26643154946457,8,0.916542268716501,1,9.18232996743327
"havcr1",3.23456469021447,8,0.91878655966339,1,3.54743327264492
"hpse2",3.22753219978745,8,0.919277755839962,1,1.1162983263509
"CT025745.1",3.20986967905761,8,0.920504886260725,1,0.508544497057013
"CR556696.1",3.20038400372661,8,0.921160047310191,1,5.48742024476627
"ptprc",3.18312439591227,8,0.922345179633273,1,0.999671687967995
"ccbe1",3.15985526432079,8,0.923928678188999,1,0.947154811627469
"CR352292.1",3.15179186221976,8,0.924473565548255,1,3.26406599304644
"zgc:92912",3.14737541866447,8,0.924771168652555,1,5.01558397085889
"syt5b",3.11625962280429,8,0.926851017672536,1,2.2364670472575
