"Gene","waldStat","df","pvalue","FDR"
"zgc:64065.1",1.01973297561131e-07,2,0.999999949013353,0.999999999955556
"CR396595.4",5.82028111408065e-08,2,0.999999970898595,0.999999999955556
"emx1",4.98401234959086e-09,2,0.999999997507994,0.999999999955556
"si:ch73-93k15.5",2.71669584535387e-09,2,0.999999998641652,0.999999999955556
"FP236457.1",2.66652556260641e-09,2,0.999999998666737,0.999999999955556
"lpar6b",2.54307215910198e-09,2,0.999999998728464,0.999999999955556
"CT573006.1",2.33516516292443e-09,2,0.999999998832417,0.999999999955556
"C18H19orf12.1",2.26110442505065e-09,2,0.999999998869448,0.999999999955556
"ly6m5",2.03138992503329e-09,2,0.999999998984305,0.999999999955556
"BX927219.1",1.94491398444621e-09,2,0.999999999027543,0.999999999955556
"fbxo32",1.75257389471532e-09,2,0.999999999123713,0.999999999955556
"gabra2a",1.73900587798862e-09,2,0.999999999130497,0.999999999955556
"card9",1.70785084835614e-09,2,0.999999999146075,0.999999999955556
"crygs3",1.59144173012561e-09,2,0.999999999204279,0.999999999955556
"si:dkey-183k8.2",1.48431008675051e-09,2,0.999999999257845,0.999999999955556
"col6a3.1",1.42102753314146e-09,2,0.999999999289486,0.999999999955556
"wnt8a.1",1.36068825068915e-09,2,0.999999999319656,0.999999999955556
"kcnn2",1.3460187410876e-09,2,0.999999999326991,0.999999999955556
"zgc:163121",1.3349170491286e-09,2,0.999999999332541,0.999999999955556
"bin2a",1.33259477509436e-09,2,0.999999999333703,0.999999999955556
"nppb",1.31985565107025e-09,2,0.999999999340072,0.999999999955556
"olig2",1.31648131701693e-09,2,0.999999999341759,0.999999999955556
"LO017955.1",1.31093634271386e-09,2,0.999999999344532,0.999999999955556
"si:ch73-250a16.5",1.30503760870536e-09,2,0.999999999347481,0.999999999955556
"si:dkey-196h17.9",1.29359282435508e-09,2,0.999999999353204,0.999999999955556
"FO082779.2",1.28263998931495e-09,2,0.99999999935868,0.999999999955556
"pax4",1.27742072328188e-09,2,0.99999999936129,0.999999999955556
"calhm6",1.27154360251668e-09,2,0.999999999364228,0.999999999955556
"hjv",1.24572151518639e-09,2,0.999999999377139,0.999999999955556
"cntnap1",1.22168157617094e-09,2,0.999999999389159,0.999999999955556
"myhz1.1.1",1.17058083425648e-09,2,0.99999999941471,0.999999999955556
"AL954187.1",1.14775241432314e-09,2,0.999999999426124,0.999999999955556
"gorasp1b",1.13003792597584e-09,2,0.999999999434981,0.999999999955556
"s1pr5b",1.10524890573985e-09,2,0.999999999447375,0.999999999955556
"hoxc1a",1.06894127636823e-09,2,0.999999999465529,0.999999999955556
"hmx1",1.05243868428729e-09,2,0.999999999473781,0.999999999955556
"cd4-1",1.05001604033204e-09,2,0.999999999474992,0.999999999955556
"retreg1",1.00534510548868e-09,2,0.999999999497327,0.999999999955556
"abcb5",9.77923384183363e-10,2,0.999999999511038,0.999999999955556
"hsd11b2",9.68221872803815e-10,2,0.999999999515889,0.999999999955556
"AMDHD1",9.64843578044922e-10,2,0.999999999517578,0.999999999955556
"si:dkey-81e3.2",9.63865186841753e-10,2,0.999999999518067,0.999999999955556
"jph1b",9.52324693580487e-10,2,0.999999999523838,0.999999999955556
"srd5a2b",9.11393821347487e-10,2,0.999999999544303,0.999999999955556
"si:dkey-239j18.3",8.89053511671481e-10,2,0.999999999555473,0.999999999955556
"znf750",8.83263529467523e-10,2,0.999999999558368,0.999999999955556
"wnt10a",8.65862478163572e-10,2,0.999999999567069,0.999999999955556
"zgc:92518",8.65452225508069e-10,2,0.999999999567274,0.999999999955556
"igfbp6b",8.51059888132966e-10,2,0.99999999957447,0.999999999955556
"AL953865.1",8.44251272722195e-10,2,0.999999999577874,0.999999999955556
"FO704673.1",8.410777506299e-10,2,0.999999999579461,0.999999999955556
"psma6l",8.27739546748432e-10,2,0.99999999958613,0.999999999955556
"si:dkeyp-92c9.4",8.26850371830167e-10,2,0.999999999586575,0.999999999955556
"lrrtm1",8.25041303905663e-10,2,0.999999999587479,0.999999999955556
"chrm2b",8.14934326529693e-10,2,0.999999999592533,0.999999999955556
"gngt2a",7.9723380738121e-10,2,0.999999999601383,0.999999999955556
"ptprjb.1",7.6964248498067e-10,2,0.999999999615179,0.999999999955556
"angptl3",7.56179240485414e-10,2,0.99999999962191,0.999999999955556
"acsl5",7.4387945705674e-10,2,0.99999999962806,0.999999999955556
"si:ch211-197l9.2",7.16526636329919e-10,2,0.999999999641737,0.999999999955556
"ppp2r2cb",6.9907352209495e-10,2,0.999999999650463,0.999999999955556
"syt5a",6.82717878029875e-10,2,0.999999999658641,0.999999999955556
"sgk2b",6.32634737966429e-10,2,0.999999999683683,0.999999999955556
"igfn1.3",6.27993017838244e-10,2,0.999999999686004,0.999999999955556
"AL935186.3",6.03265066844612e-10,2,0.999999999698368,0.999999999955556
"b3gat1a",5.72497700193053e-10,2,0.999999999713751,0.999999999955556
"rnf152",5.47215026163836e-10,2,0.999999999726393,0.999999999955556
"FP015810.1",5.28172737415374e-10,2,0.999999999735914,0.999999999955556
"wnt2",4.97335421316919e-10,2,0.999999999751332,0.999999999955556
"ubn1",4.83447850998055e-10,2,0.999999999758276,0.999999999955556
"nmu",4.77492473866074e-10,2,0.999999999761254,0.999999999955556
"nkx2.1",3.5274679779279e-10,2,0.999999999823627,0.999999999955556
"si:ch1073-90m23.1",2.64224903768136e-10,2,0.999999999867888,0.999999999955556
"crispld1a",1.93187421358879e-10,2,0.999999999903406,0.999999999955556
"trh",1.35084850131689e-10,2,0.999999999932458,0.999999999955556
"hsf5",8.88890036700022e-11,2,0.999999999955556,0.999999999955556
"col18a1b",NA,NA,NA,NA
"CABZ01118738.1",NA,NA,NA,NA
"samd10a",NA,NA,NA,NA
"CFAP77",NA,NA,NA,NA
