"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"bcl6b",94.2041330424405,8,1.11022302462516e-16,9.81412618453177e-16,0.54819862152933
"anln",94.1599315371161,8,1.11022302462516e-16,9.81412618453177e-16,0.82373957360148
"prcp",93.8821694933272,8,1.11022302462516e-16,9.81412618453177e-16,0.574270403259938
"kif23",93.3612700864598,8,1.11022302462516e-16,9.81412618453177e-16,1.04382484685486
"kirrel3l",93.2642890345833,8,1.11022302462516e-16,9.81412618453177e-16,0.784952009911345
"krt8",93.1013380129364,8,1.11022302462516e-16,9.81412618453177e-16,0.525876343462058
"bub3",93.0475400980676,8,1.11022302462516e-16,9.81412618453177e-16,0.539769333693706
"sept9a",92.9053656588006,8,1.11022302462516e-16,9.81412618453177e-16,1.15560551166382
"kif20bb",92.6688606944104,8,1.11022302462516e-16,9.81412618453177e-16,0.992354889469922
"smad1",92.393186129428,8,1.11022302462516e-16,9.81412618453177e-16,0.268841491696447
"si:ch211-69g19.2",92.1787895939261,8,2.22044604925031e-16,1.89984688705909e-15,1.19989836411281
"si:ch211-266i6.3",92.155260301232,8,2.22044604925031e-16,1.89984688705909e-15,1.01847656933694
"mical2a",91.5227623438538,8,2.22044604925031e-16,1.89984688705909e-15,1.38946497877858
"si:dkey-30c15.10",91.4368264143793,8,2.22044604925031e-16,1.89984688705909e-15,0.682865835839758
"hist2h3c",91.3861672768613,8,2.22044604925031e-16,1.89984688705909e-15,1.74247615966485
"ckap2l",91.346422993496,8,2.22044604925031e-16,1.89984688705909e-15,1.24400875891402
"si:ch211-208k15.1",90.6655601075306,8,3.33066907387547e-16,2.80477395694776e-15,1.43758834510199
"tacc3",90.5255066747386,8,3.33066907387547e-16,2.80477395694776e-15,1.88997005293879
"NAV1",90.4439763287603,8,3.33066907387547e-16,2.80477395694776e-15,0.946811125850526
"prc1a",89.6101001620078,8,5.55111512312578e-16,4.65014879424149e-15,1.08402130161718
"hey1",88.2839165928175,8,9.99200722162641e-16,8.32667268468867e-15,3.34253123656761
"CU459186.2",87.7800686763527,8,1.33226762955019e-15,1.10447057372036e-14,2.52884439310485
"zgc:173552",87.0869244365027,8,1.77635683940025e-15,1.46503656857753e-14,3.03971386233268
"slco2b1",86.6949067811915,8,2.22044604925031e-15,1.82190445066692e-14,1.36557337811773
"kif4",86.2577169745327,8,2.66453525910038e-15,2.16408955053838e-14,0.91711784655659
"cnmd",86.2571653721026,8,2.66453525910038e-15,2.16408955053838e-14,6.05162893482027
"tiparp",85.4559207257822,8,3.88578058618805e-15,3.14002471611155e-14,1.21357779063047
"skia",85.394860857647,8,3.99680288865056e-15,3.21350986022156e-14,0.454556005716386
"mycn",85.2017315095552,8,4.32986979603811e-15,3.46389583683049e-14,0.514765911313903
"adam12",85.0040166013069,8,4.77395900588817e-15,3.80016637284631e-14,0.445983912709774
"mcamb",84.6937373617164,8,5.55111512312578e-15,4.3969228698026e-14,1.30307450513972
"nos1apa.1",83.599456884899,8,9.2148511043888e-15,7.26293683104536e-14,0.284693316379844
"dkc1",83.411411768025,8,9.99200722162641e-15,7.83686840911875e-14,0.921598800045565
"ect2",83.2052160180256,8,1.0991207943789e-14,8.57850376100609e-14,1.18816466294524
"prc1b",82.9050639792483,8,1.26565424807268e-14,9.83032425687517e-14,1.16724206318336
"ccdc187",82.4465969673249,8,1.57651669496772e-14,1.21856362896056e-13,0.64038970418173
"ppp1r14aa",82.1080170584592,8,1.84297022087776e-14,1.4176694006752e-13,1.38351608712517
"BX537310.2",82.0900430683656,8,1.85407245112401e-14,1.41938560851599e-13,2.00436775139136
"c1qbp",81.9897156866671,8,1.94289029309402e-14,1.48029736616688e-13,1.22514562545398
"lig1",81.817719443378,8,2.1094237467878e-14,1.59956303073956e-13,1.01532471687966
"arhgap11a",81.4908160185476,8,2.4535928844216e-14,1.85176821465781e-13,1.29572820239804
"tnfrsf19",81.4505870112087,8,2.4980018054066e-14,1.8764332810566e-13,1.24051939620714
"aurka",81.0879112750871,8,2.95319324550292e-14,2.20799494990872e-13,1.35342413819987
"cgnl1",80.852787812464,8,3.29736238313671e-14,2.45071452843183e-13,0.81806328968945
"cdc14b",80.8410016941814,8,3.30846461338297e-14,2.45071452843183e-13,0.634922219164477
"SEMA4F",80.8121536866412,8,3.35287353436797e-14,2.47216481796717e-13,0.829050927267575
"si:ch211-227m13.1",80.5048701423008,8,3.86357612569554e-14,2.83565220234535e-13,0.661803857802137
