"Gene","waldStat","df","pvalue","FDR"
"hsd11b2",6.36031093581895e-10,2,0.999999999681984,0.999999999920949
"wnt10a",6.31857845305322e-10,2,0.999999999684071,0.999999999920949
"si:dkey-5n7.2",6.3050141782793e-10,2,0.999999999684749,0.999999999920949
"colgalt2",6.27038340499477e-10,2,0.999999999686481,0.999999999920949
"si:dkey-217g21.3",6.19608115236344e-10,2,0.999999999690196,0.999999999920949
"crygm2d13",6.03495234964911e-10,2,0.999999999698252,0.999999999920949
"hjv",6.01681517372959e-10,2,0.999999999699159,0.999999999920949
"sp8a",6.00296565710518e-10,2,0.999999999699852,0.999999999920949
"si:ch211-225p5.8",5.98771777590383e-10,2,0.999999999700614,0.999999999920949
"cryba2b",5.9869267595343e-10,2,0.999999999700654,0.999999999920949
"aste1a",5.6141919801143e-10,2,0.99999999971929,0.999999999920949
"LO017955.1",5.26236756287154e-10,2,0.999999999736882,0.999999999920949
"abcb5",5.24622205944918e-10,2,0.999999999737689,0.999999999920949
"cryba1b",5.23042359335308e-10,2,0.999999999738479,0.999999999920949
"nefla",5.15975372075263e-10,2,0.999999999742012,0.999999999920949
"si:dkey-183c6.8",5.10243394373823e-10,2,0.999999999744878,0.999999999920949
"six2a",5.07866860114327e-10,2,0.999999999746067,0.999999999920949
"gja5a",4.78403627320291e-10,2,0.999999999760798,0.999999999920949
"fam131a",4.74963167240016e-10,2,0.999999999762518,0.999999999920949
"tppp3",4.4684673092596e-10,2,0.999999999776577,0.999999999920949
"igfbp6b",4.34516808093251e-10,2,0.999999999782742,0.999999999920949
"olig2",4.16627914829159e-10,2,0.999999999791686,0.999999999920949
"zgc:92518",4.03748385385787e-10,2,0.999999999798126,0.999999999920949
"CU972454.5",4.02040516587707e-10,2,0.99999999979898,0.999999999920949
"grhl1",3.84773441474539e-10,2,0.999999999807613,0.999999999920949
"fbxo32",3.83539353760713e-10,2,0.99999999980823,0.999999999920949
"hoxc1a",3.72951978938026e-10,2,0.999999999813524,0.999999999920949
"nostrin",3.69295635794297e-10,2,0.999999999815352,0.999999999920949
"si:ch211-125o16.4",3.69172232261205e-10,2,0.999999999815414,0.999999999920949
"gngt2a",3.55420827815329e-10,2,0.99999999982229,0.999999999920949
"sdk2a",3.50824356394551e-10,2,0.999999999824588,0.999999999920949
"otx5",3.39699227499225e-10,2,0.99999999983015,0.999999999920949
"znf750",3.33661033843574e-10,2,0.999999999833169,0.999999999920949
"gabra2a",3.22941181604127e-10,2,0.999999999838529,0.999999999920949
"AL954187.1",3.06338002273304e-10,2,0.999999999846831,0.999999999920949
"si:dkey-239j18.3",2.76914422793355e-10,2,0.999999999861543,0.999999999920949
"FP236457.1",2.57774594765612e-10,2,0.999999999871113,0.999999999920949
"CR396595.4",2.37138530585015e-10,2,0.999999999881431,0.999999999920949
"rundc3aa",2.32891732378822e-10,2,0.999999999883554,0.999999999920949
"ptx4",1.86009302762682e-10,2,0.999999999906995,0.999999999920949
"angptl3",1.58101067051956e-10,2,0.999999999920949,0.999999999920949
"foxl2a",NA,NA,NA,NA
"BX901968.1",NA,NA,NA,NA
"si:dkey-31j3.11",NA,NA,NA,NA
"lpin1",NA,NA,NA,NA
"mrap2a",NA,NA,NA,NA
"si:ch211-198c19.3",NA,NA,NA,NA
"arhgap22",NA,NA,NA,NA
"klhl43",NA,NA,NA,NA
"RIMBP2",NA,NA,NA,NA
"CU466287.2",NA,NA,NA,NA
"cabp7b",NA,NA,NA,NA
"sp100.2",NA,NA,NA,NA
"ftr12.1",NA,NA,NA,NA
"macc1",NA,NA,NA,NA
"sprb",NA,NA,NA,NA
"lzts3b",NA,NA,NA,NA
"fbln7",NA,NA,NA,NA
"si:ch211-255p10.3",NA,NA,NA,NA
"hsf5",NA,NA,NA,NA
"cavin4a",NA,NA,NA,NA
"grk1a",NA,NA,NA,NA
"si:dkey-5n18.1",NA,NA,NA,NA
"mpeg1.2",NA,NA,NA,NA
"abch1",NA,NA,NA,NA
"CT573006.1",NA,NA,NA,NA
"zgc:174855",NA,NA,NA,NA
"BX323855.1",NA,NA,NA,NA
"csf3r",NA,NA,NA,NA
"xgb",NA,NA,NA,NA
"cd83",NA,NA,NA,NA
"CR589876.1",NA,NA,NA,NA
"BX957347.2",NA,NA,NA,NA
"kcnk10a",NA,NA,NA,NA
"slc30a8",NA,NA,NA,NA
"si:ch211-240l19.5",NA,NA,NA,NA
"ptprna",NA,NA,NA,NA
