"Gene","waldStat","df","pvalue","FDR"
"csrp2",10.3410997619018,5,0.066127496703424,0.233655701898849
"plekhg4",10.3400688438806,5,0.0661534027542333,0.233655701898849
"zbtb16b",10.3187841911735,5,0.0666903902129414,0.235133969045628
"pho",10.2863519383494,5,0.0675164510980782,0.23714913805763
"edn2",10.2862048637202,5,0.0675202188041116,0.23714913805763
"fosl1a",8.751485934124,4,0.0676203587610168,0.23714913805763
"CABZ01026153.1",10.233893168482,5,0.0688728391499689,0.240533457911474
"pcdh1b",10.2336314745526,5,0.0688796688589146,0.240533457911474
"coro2bb",8.70365606090677,4,0.0689488854164376,0.240533457911474
"rnd3a",10.1909862737406,5,0.0700011031243288,0.243775771406654
"hist1h2a2",10.1652002801499,5,0.0706874264671397,0.24573474875179
"hist1h4l.17",8.61593918548616,4,0.0714497977785913,0.247666427810178
"nr5a2",10.1352436846063,5,0.0714926262646004,0.247666427810178
"thbs1b",10.1234765049535,5,0.0718112454237749,0.248124865855149
"cdc14b",10.1176795146035,5,0.0719686958491873,0.248124865855149
"smap1",10.1130656964537,5,0.0720942401207261,0.248124865855149
"zgc:194989",10.1119378269217,5,0.0721249610067612,0.248124865855149
"adma",10.0844365362146,5,0.0728778223825219,0.250281102818869
"dusp2",10.0718401177505,5,0.0732250919638041,0.251039391274872
"dhrs11a",10.0577470246362,5,0.0736154477984333,0.251942523930845
"lzts1",5.21272646911541,2,0.0738024585269186,0.25203276338582
"epha4a",10.0476699535536,5,0.0738957522874293,0.25203276338582
"slc29a2",10.0223995711921,5,0.0746030464640032,0.254008657343133
"kif20ba",9.9090654647204,5,0.0778532221205399,0.264620969022726
"ect2",9.90413067206752,5,0.0779976842938856,0.264658809099766
"adarb1b",9.8848395044349,5,0.078564807867767,0.266128231429211
"zgc:174944",5.0773641707098,2,0.07897040749555,0.26704643761272
"si:dkey-163f12.11",8.33360878026801,4,0.0800943472085047,0.270386529266806
"gadd45ab",9.82860843364329,5,0.0802397880794933,0.270417621965695
"igfbp2a",9.81179075682143,5,0.0807471368074976,0.27166621451336
"tmem108",9.78371633428334,5,0.0816007001454694,0.274073417578269
"hmmr",9.75742164465114,5,0.0824077230304523,0.276316436174743
"cplx2",9.74186865376907,5,0.082888537859413,0.277459945448457
"coro1a",9.72388170009176,5,0.0834478339378634,0.278861869304139
"spp1",6.62984275369203,3,0.0846800964764766,0.282242225901377
"shc1",9.68262944331475,5,0.0847437615300861,0.282242225901377
"sema3fb",9.65785008192076,5,0.0855311155396437,0.284387377464309
"cxcl12b",9.64763570675968,5,0.0858576360229996,0.284995664725174
"bcam",4.90193644345444,2,0.0862100756090555,0.285177609109937
"ncl",9.63476077356005,5,0.0862708462148281,0.285177609109937
"jdp2b",4.89884472308461,2,0.0863434473929834,0.285177609109937
"cbx3a",9.61386865540744,5,0.0869452708560262,0.28649523479731
"spc25",9.60758958653718,5,0.0871489165931358,0.28649523479731
"si:dkey-57a22.11",9.60677474316431,5,0.0871753762305164,0.28649523479731
"arpc5lb",9.59851073463308,5,0.0874441447967435,0.286903516399233
"tmem256",9.59063400607479,5,0.0877010295455168,0.287271524171371
"zcchc7",9.58380126137049,5,0.087924430545573,0.287528821471108
"samd10b",9.57598511594508,5,0.0881806282183597,0.287892347061586
"smc2",9.56602094863929,5,0.0885082322845768,0.288487423784704
"krt94",9.53652448449274,5,0.0894846141689171,0.291191736270984
"sema7a",4.78754374251025,2,0.0912847194963721,0.296563286743533
"vim",9.47607371912106,5,0.0915167271566915,0.296831214715739
"ncaph",9.45820427126337,5,0.0921255143946106,0.29831834595971
"daam1b",9.41361830485321,5,0.0936607825611507,0.30279585241675
"nav3",7.93722816696784,4,0.0939048598322711,0.303091295556192
"plcl1",9.38608365771083,5,0.0946206238560244,0.304468355505019
"hsp70.3",9.3855797212187,5,0.0946382747338019,0.304468355505019
"fbl",9.37491743738551,5,0.0950124419011669,0.304543879956859
"hand2",4.70606788722011,2,0.0950802560393834,0.304543879956859
"f8",9.36793102818799,5,0.0952583497544222,0.304543879956859
"sorcs2",4.70196641690697,2,0.0952754405305842,0.304543879956859
"si:dkey-185e18.7",9.3417605977829,5,0.0961847035527655,0.306542220085137
"hirip3",9.33786609362982,5,0.0963232621908112,0.306542220085137
"poc1b",9.33672479734708,5,0.0963639019310456,0.306542220085137
"NPAS3",9.32826410716218,5,0.0966656648828593,0.307006490224335
"fabp3",9.31984098934994,5,0.0969669492480463,0.307006490224335
"ptprga",9.31964866580573,5,0.0969738384738831,0.307006490224335
"fkbp1ab",9.29748943799553,5,0.0977706187964973,0.309036111960266
"dgkg",9.2875026303984,5,0.0981316746338856,0.309637374127723
"lama5",9.28045454955761,5,0.0983872215443014,0.309637374127723
"rbms3",9.27930917922622,5,0.0984288075942534,0.309637374127723
"slco1d1",4.61928688661724,2,0.099296650133508,0.311873181194641
"igdcc3",9.22116776954619,5,0.100561095819977,0.315311964320876
"si:ch211-117c9.5",9.21717115257163,5,0.100709211778053,0.315311964320876
"inpp5l",9.19751634631462,5,0.101440536902172,0.31710152086742
"her15.2",4.5568661809874,2,0.102444602441361,0.319736691581921
"zmiz1a",9.16084127911722,5,0.102818172782082,0.32039885866944
"abi3bpb",9.15416022144554,5,0.103070970722314,0.320683192607827
"hist1h2a11.1",9.12716245964046,5,0.104098312291597,0.323372691547448
"si:ch1073-153i20.5",9.11913796187589,5,0.104405466961711,0.323720229461658
"BX276117.1",9.11572499962875,5,0.104536356214067,0.323720229461658
"depdc1a",9.10666319148867,5,0.10488461020527,0.324292758968006
"myo10l3",9.08298012704019,5,0.105799783869892,0.326613640718096
"dhrs3b",9.07505789643614,5,0.106107542937084,0.326784507518185
"tox3",9.07308308678291,5,0.106184386573919,0.326784507518185
"BX323453.1",9.06516388840124,5,0.106493048434604,0.327092619184871
"palld",9.06001663173694,5,0.106694108920253,0.327092619184871
"pprc1",9.0578498663019,5,0.106778849990829,0.327092619184871
"ltbp1",9.04539543404846,5,0.107267128695894,0.328082050017489
"shmt1",9.00714235178831,5,0.108779612465769,0.332196201145463
"CR385065.1",4.42498600167168,2,0.109427505321642,0.333661440957695
"ebf2",6.03717659260017,3,0.109815445491424,0.334330765798277
"mki67",8.97521299902809,5,0.110056921771855,0.334552817330982
"gcgb",4.39879464517413,2,0.110869957050169,0.336245286549408
"prc1a",8.95302724576658,5,0.110952474906732,0.336245286549408
"hivep3a",8.91577988235707,5,0.112470936841474,0.340327453704765
"si:ch211-13k12.2",8.90109129396768,5,0.113074926057857,0.340929592859087
"si:ch211-191c10.1",8.90108396914846,5,0.113075227986083,0.340929592859087
"nr3c2",8.89841746351604,5,0.113185189770347,0.340929592859087
"si:dkey-25o16.4",8.8613486666023,5,0.114723940660916,0.345040942745331
"si:ch73-368j24.11",8.8544275890933,5,0.115013336259126,0.345082061971454
"igf2a",8.85270893260174,5,0.115085302279649,0.345082061971454
"gpc6a",8.84066197406425,5,0.115590898716341,0.345354816603099
"fibina",4.31329990792321,2,0.115712113362046,0.345354816603099
"pdlim4",8.8371033043368,5,0.115740637254389,0.345354816603099
"nectin1b",8.83398015584972,5,0.115872195394289,0.345354816603099
"afap1l2",8.82400327812337,5,0.116293367009917,0.345910967281795
"prlra",4.30052939211264,2,0.116453328956624,0.345910967281795
"mybl2b",8.8160041868418,5,0.116632049890786,0.345910967281795
"si:ch211-113a14.12",8.81308567522651,5,0.116755842860858,0.345910967281795
"lyar",8.8074900472648,5,0.116993523135225,0.345986207950387
"mcm2",8.80428544439726,5,0.117129839668846,0.345986207950387
"CABZ01044099.1",8.79505456362405,5,0.117523306027961,0.34651518779175
"kcnq5a",8.7918997714742,5,0.117658053688483,0.34651518779175
"dok4",8.77733950811173,5,0.11828176972181,0.347576572053941
"col19a1.1",7.34933102508877,4,0.118539635151058,0.347576572053941
"tbx1",5.86155259860075,3,0.118543747748372,0.347576572053941
"mmp30",4.25776988934899,2,0.118969877915334,0.348311515725571
"ctdp1",8.75144896137602,5,0.119398247125107,0.349050840270012
"fam102ab",4.21663077159074,2,0.121442377762548,0.354504588027439
"atf3",8.70033855568472,5,0.121630345974378,0.354531918882732
"tenm4",8.69421753312477,5,0.121900180769368,0.354797446960697
"elmsan1b",8.62699827827715,5,0.124899240089371,0.362994131152857
"cdca8",8.61017691277381,5,0.125660095497477,0.364211386427503
"pde4d",8.60949858906441,5,0.125690864665082,0.364211386427503
"BX284638.2",8.60221118740073,5,0.126021854749843,0.364211386427503
"si:dkey-286j17.4",4.14212149772038,2,0.126052001247201,0.364211386427503
"hist2h3c",8.59658770157547,5,0.126277808080621,0.364333501511676
"wfdc1",4.11768853847501,2,0.127601357522432,0.367395681690277
"dcn",8.565324378214,5,0.127709330159341,0.367395681690277
"slc16a1a",4.07495047880017,2,0.13035741702206,0.374471017060477
"cacna1aa",8.50170445372892,5,0.130667689531045,0.374819889767521
"si:ch73-364h19.1",8.48483046700746,5,0.131462620746139,0.376555991603299
"si:ch211-126c2.4",8.46225738634021,5,0.132532836542562,0.378066313343166
"id2a",8.45801370376008,5,0.132734906904945,0.378066313343166
"cdc20",8.45638304813696,5,0.132812627040712,0.378066313343166
"kif4",8.45473696234779,5,0.132891124087631,0.378066313343166
"ssbp2",8.45366615978131,5,0.132942209931249,0.378066313343166
"rcan3",8.44481498732852,5,0.133365157922153,0.37872652142414
"fhl3a",8.43949514472833,5,0.133619944733526,0.378907986137213
"si:ch211-244o22.2",8.43095335883084,5,0.134029957026606,0.379528480310717
"si:ch211-113a14.11",8.41482254000216,5,0.134807331487822,0.381127275315931
"aldocb",5.56197299623893,3,0.134978576598035,0.381127275315931
"CKS2",8.40241471649789,5,0.135408039321296,0.381775328974228
"aqp8a.1",8.3981424510091,5,0.135615430503431,0.381775328974228
"cadm1a",8.39465203827823,5,0.135785079222068,0.381775328974228
"itga5",8.38548097123114,5,0.136231739278283,0.38204605761731
"CABZ01086127.1",8.3817382376328,5,0.136414400611275,0.38204605761731
"ccne2",8.3808298237779,5,0.136458768186737,0.38204605761731
"kaznb",8.36032096386052,5,0.137463885067367,0.383857817032087
"zgc:194627",8.35684834084895,5,0.137634729955943,0.383857817032087
"bms1",8.355806400433,5,0.137686028073978,0.383857817032087
"CU929150.1",3.95003885696761,2,0.138758616347236,0.386053242829217
"col5a2a",8.33200594594665,5,0.138862476261995,0.386053242829217
"rasgrp3",8.31450743896189,5,0.139733155040716,0.38713921017945
"si:dkey-108k21.21",8.31354096251822,5,0.13978138641046,0.38713921017945
