"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00149287219114923,0.105202498988605,0.183,0.131,1,"LEC","sh3glb1b"
0.00149518047396738,-1.03586069407567,0.085,0.124,1,"LEC","BX572619.1"
0.00149977724735829,0.525460043713046,0.059,0.034,1,"LEC","ggps1"
0.00150264582449505,-4.11440078093212,0.002,0.018,1,"LEC","CU695215.3"
0.00150612344237698,0.147585898663361,0.242,0.183,1,"LEC","rhogc"
0.00150724666407548,0.117065133365664,0.116,0.077,1,"LEC","zfand6"
0.00151290422021803,0.63686731358659,0.038,0.019,1,"LEC","atrip"
0.0015135279466643,0.046792201354065,0.425,0.325,1,"LEC","stau2"
0.00151995375427965,0.156996230746835,0.23,0.171,1,"LEC","gse1"
0.00152550566711092,0.0753272599523445,0.54,0.428,1,"LEC","vaspb"
0.00152590390784429,0.0893122885209552,0.157,0.11,1,"LEC","lztfl1"
0.00152787665791676,0.154782704563485,0.142,0.098,1,"LEC","fdps"
0.00153072225910674,0.103447883366769,0.398,0.313,1,"LEC","ndufs7"
0.00154487173000397,-0.653337426092798,0.258,0.295,1,"LEC","jund"
0.00154768897426897,0.102310496796612,0.268,0.202,1,"LEC","hip1"
0.00154879817515205,0.265052540746416,0.223,0.168,1,"LEC","h2ax"
0.00154956028102097,0.616718451277742,0.056,0.032,1,"LEC","trmt61a"
0.00155900007460336,-2.15714720804667,0.005,0.024,1,"LEC","epb41l4a"
0.00156372482879799,0.657790866065918,0.034,0.016,1,"LEC","ficd"
0.00156373137066738,0.147246380501519,0.206,0.151,1,"LEC","tnrc6b"
0.00156650882879341,0.384710666911253,0.061,0.035,1,"LEC","rspry1"
0.00156706285085731,0.0576534207544304,0.645,0.514,1,"LEC","reep5"
0.00157088959975974,0.202471669378709,0.105,0.069,1,"LEC","fbxw2"
0.00157090308246419,1.68139133145644,0.012,0.004,1,"LEC","si:dkey-174i8.1"
0.00157187357073423,0.209981376899729,0.116,0.077,1,"LEC","gpatch1"
0.00158329940276722,0.126268282717807,0.261,0.199,1,"LEC","fam50a"
0.00158919594789874,0.354359335750125,0.032,0.015,1,"LEC","ociad2"
0.00159090200738302,0.672994416403906,0.081,0.051,1,"LEC","znf106a"
0.00159173779866582,0.386708484091878,0.05,0.028,1,"LEC","arhgap12b"
0.00159312438035882,0.86666761937294,0.024,0.01,1,"LEC","rgs7a"
0.00159967965358474,0.150676283052393,0.265,0.202,1,"LEC","ubap2b"
0.00160091301705916,0.543824430230766,0.037,0.018,1,"LEC","agbl5"
0.00160863888600625,0.122467793699061,0.3,0.229,1,"LEC","CABZ01087560.1"
0.00162696985395492,0.422185260956482,0.073,0.045,1,"LEC","pkmyt1"
0.00163387969690525,0.356295988596266,0.081,0.05,1,"LEC","zgc:101679"
0.00166114654274087,0.130969694355525,0.194,0.14,1,"LEC","nars1"
0.00166347734185912,0.244567700153846,0.073,0.045,1,"LEC","brwd1"
0.00166805108154907,0.698098189654635,0.037,0.018,1,"LEC","drosha"
0.0016704299190854,-0.802124713097106,0.154,0.194,1,"LEC","pitpnaa"
0.00167736692460455,-1.31873887016594,0.041,0.073,1,"LEC","wnk1b"
0.00168086478061415,0.283461592894993,0.142,0.099,1,"LEC","p4ha1b"
0.00168104013032585,0.549360052933769,0.049,0.027,1,"LEC","spinb"
0.00168481972730743,-1.75948294002077,0.005,0.023,1,"LEC","apobb.1"
0.0016871428684579,0.491298048657832,0.047,0.026,1,"LEC","lysmd1"
0.00169211288843241,0.542770327334074,0.041,0.021,1,"LEC","smg8"
0.00169439775829119,-0.710506351583361,0.137,0.18,1,"LEC","mast2"
0.00169756213658131,0.316932021670431,0.082,0.052,1,"LEC","nde1"
0.00169983362316597,0.201221192445881,0.154,0.109,1,"LEC","ndrg3a"
0.00170649304017564,0.486428178385945,0.05,0.028,1,"LEC","cbx2"
0.00170781325359792,0.16251305593648,0.102,0.067,1,"LEC","xpnpep1"
0.00170923847272349,0.501873007431605,0.055,0.031,1,"LEC","lnpa.1"
0.001709557286275,-1.14550941302595,0.04,0.072,1,"LEC","gstk1"
0.00171321486796186,-0.455748679001552,0.459,0.464,1,"LEC","fkbp2"
0.00171823051329876,0.156814639356611,0.162,0.114,1,"LEC","bcl2l10"
0.00171833506792628,-3.83141641059784,0.003,0.021,1,"LEC","hbl2"
0.0017196339691964,0.134904492150696,0.264,0.199,1,"LEC","nck1a"
0.0017221426784153,0.0841312895510105,0.793,0.646,1,"LEC","ssr4"
0.00172396616163578,-1.81394876370201,0.018,0.044,1,"LEC","crygm2d17.1"
0.00173404143278985,-0.0787351047322222,0.224,0.162,1,"LEC","nupr1a"
0.00173657125071775,1.73265237350128,0.011,0.003,1,"LEC","ldlrad4a"
0.00173792359954909,0.15449947095502,0.081,0.05,1,"LEC","tshz3b"
0.0017387430961433,-0.80896710778892,0.105,0.146,1,"LEC","lig1"
0.00174586783314201,-5.23276868579484,0,0.015,1,"LEC","scn5lab"
0.00174795537959735,-0.999613778957231,0.085,0.123,1,"LEC","gypc"
0.00175310738065316,-1.63896836328368,0.029,0.057,1,"LEC","si:ch211-266g18.9"
0.00175510319285797,1.5167010687973,0.011,0.003,1,"LEC","FO704741.1"
0.00175634509745572,1.40940365030387,0.011,0.003,1,"LEC","itgb1b.2"
0.00175950095341095,0.0701680566477353,0.29,0.221,1,"LEC","myef2"
0.00176189676244337,0.4327591197363,0.04,0.02,1,"LEC","cars2"
0.00176929602131016,-0.49525946294437,0.369,0.394,1,"LEC","nucb1"
0.00176998736548912,0.300893253999462,0.114,0.077,1,"LEC","metap1"
0.00177002763204492,0.118914648185371,0.274,0.21,1,"LEC","cops9"
0.00177005947276936,1.17926786785568,0.011,0.003,1,"LEC","zgc:195001"
0.001772140425587,-0.783419170988789,0.114,0.156,1,"LEC","lamtor5"
0.00177718673682702,0.647506002311309,0.03,0.014,1,"LEC","sirt4"
0.00178727307289348,-1.16268416295126,0.07,0.107,1,"LEC","tnnt3a"
0.00179094277939002,0.226608960772358,0.091,0.059,1,"LEC","sec23a"
0.00179811174365058,0.0413569713529959,0.195,0.141,1,"LEC","CU929259.1"
0.00179837213752566,-0.0920033012432822,0.579,0.452,1,"LEC","mafba"
0.00180109889695965,0.0683495371041112,0.681,0.545,1,"LEC","atp5f1c"
0.00182011566494226,0.687798587612704,0.053,0.03,1,"LEC","si:ch73-130a3.4"
0.00182552312657124,0.573829258662997,0.049,0.027,1,"LEC","zc3h10"
0.00184375980793506,1.04844692795649,0.027,0.012,1,"LEC","bdh1"
0.00185568149131387,0.237180500391608,0.108,0.072,1,"LEC","poldip2"
0.00185689810188395,-2.71441275046497,0.002,0.018,1,"LEC","P4HTM"
0.00186385180892848,0.393800592182154,0.088,0.057,1,"LEC","ahsa1b"
0.00187447045829164,0.0827139705799829,0.107,0.07,1,"LEC","tmem234"
0.00188657018599184,0.266435312051935,0.067,0.04,1,"LEC","sdhaf3"
0.00188833841183482,0.271861733791714,0.114,0.077,1,"LEC","rex1bd"
0.00188888130476556,0.082586620174358,0.279,0.211,1,"LEC","rbpms2a"
0.00188923695544505,0.3444195968217,0.05,0.028,1,"LEC","cth"
0.00189263818560446,0.205908052722448,0.085,0.054,1,"LEC","rab3ip"
0.00189762161296774,-1.55402498967686,0.021,0.047,1,"LEC","gch1"
0.00189822644740378,-0.956217912924962,0.093,0.131,1,"LEC","arl6ip5b"
0.00189957497622497,0.0777485105997284,0.178,0.127,1,"LEC","ppp1r26"
0.00190040606712832,0.0327949136195996,0.37,0.282,1,"LEC","rab5ab"
0.00190779025894113,0.669626556832811,0.027,0.012,1,"LEC","tyro3"
0.00191038358757443,0.403207523604204,0.078,0.049,1,"LEC","usp25"
0.00191045284033111,-1.09109981363215,0.041,0.073,1,"LEC","si:dkeyp-69e1.8"
