"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.0420708138486e-12,0.343968245686089,0.242,0.112,1.21574411463518e-07,"LEC","ccdc82"
5.08611583729761e-12,0.806811638044735,0.107,0.033,1.2263642506892e-07,"LEC","pcbd1"
5.24249282971221e-12,0.361849815142259,0.628,0.401,1.26406987110021e-07,"LEC","ndufs2"
5.25882144820637e-12,0.716210047226658,0.118,0.039,1.26800702759152e-07,"LEC","pms2"
5.39466568502351e-12,0.31420831567386,0.403,0.223,1.30076178997287e-07,"LEC","eif1axa"
5.42423893016608e-12,0.255802822259144,0.973,0.933,1.30789249084164e-07,"LEC","msna"
5.43758112515495e-12,0.677973163298159,0.14,0.051,1.31110956089736e-07,"LEC","fhit"
5.47340882297557e-12,0.364965143956078,0.845,0.664,1.31974833539587e-07,"LEC","psma3"
5.65588515932417e-12,0.590338504344946,0.178,0.074,1.36374702961624e-07,"LEC","plaa"
5.6988590125075e-12,0.434054735303932,0.729,0.503,1.37410888509581e-07,"LEC","celf2"
5.79614650426155e-12,0.441995470623361,0.789,0.582,1.39756684510755e-07,"LEC","metap2b"
5.82609268409615e-12,1.06625766704808,0.124,0.043,1.40478746798926e-07,"LEC","anapc4"
5.88896813426003e-12,0.257393284177141,0.424,0.234,1.41994799653278e-07,"LEC","golt1bb"
5.89567330615702e-12,0.276499333886726,0.281,0.138,1.42156474758058e-07,"LEC","rpf2"
5.93142646636202e-12,0.451096021771903,0.649,0.437,1.43018554956921e-07,"LEC","mtss1lb"
5.97473866652025e-12,0.977370179874218,0.109,0.034,1.44062898727136e-07,"LEC","tubgcp5"
6.01891184243647e-12,0.350713122138685,0.442,0.253,1.45128002344828e-07,"LEC","GK3P"
6.02723580599453e-12,0.329138521325241,0.207,0.091,1.4532870975414e-07,"LEC","fam193b"
6.05502711509998e-12,0.569743354435146,0.186,0.079,1.45998813799291e-07,"LEC","thoc6"
6.08504025876774e-12,0.92938419364576,0.122,0.041,1.46722490719408e-07,"LEC","dctpp1"
6.1339382864212e-12,0.46124444574292,0.297,0.15,1.47901519962188e-07,"LEC","rchy1"
6.1883047002431e-12,0.296482014620375,0.329,0.172,1.49212402932262e-07,"LEC","lrrc59"
6.21347033779461e-12,0.393624449354161,0.709,0.498,1.49819196784904e-07,"LEC","lsm7"
6.33602038157765e-12,0.334397196109857,0.382,0.207,1.527741234406e-07,"LEC","srp68"
6.35466529350076e-12,0.404735752112728,0.368,0.201,1.5322368955689e-07,"LEC","adh8b"
6.4582203417689e-12,0.497364987014588,0.176,0.072,1.55720608880732e-07,"LEC","noc4l"
6.52348268788839e-12,0.37259681108685,0.785,0.575,1.57294214570365e-07,"LEC","nop53"
6.53831136953845e-12,1.16886234585708,0.099,0.029,1.57651763742311e-07,"LEC","shcbp1"
6.66908663306978e-12,1.16366721193541,0.081,0.02,1.60805016896579e-07,"LEC","pdcd2l"
6.8323752616296e-12,0.352488767403321,0.438,0.248,1.64742232308413e-07,"LEC","ccnl1b"
6.99916855637311e-12,0.378671088520518,0.378,0.206,1.68763952231268e-07,"LEC","psmd11b"
7.02590339013031e-12,0.95199114018722,0.107,0.033,1.69408582542822e-07,"LEC","HTRA3"
