"rank","index","confect","effect","AveExpr","name","group"
141,15619,-0.111,-0.282768622225193,8.18052739552651,"svild","hmVEC__mVEC"
142,5348,0.11,0.294356316878329,9.8103796897096,"atp5mc3b","hmVEC__mVEC"
143,7088,0.108,0.280822525340189,8.97747638985162,"dad1","hmVEC__mVEC"
144,18233,0.108,0.193735004126069,7.16273588157009,"tktb","hmVEC__mVEC"
145,2097,0.107,0.190482389557858,7.02334936806615,"irx3a","hmVEC__mVEC"
146,18542,0.107,0.193460611605917,7.02883389080564,"tuba1c","hmVEC__mVEC"
147,15945,-0.106,-0.267899640622986,7.39988888964887,"rbfox3a","hmVEC__mVEC"
148,6459,0.105,0.277998871772682,7.82116980534835,"pbx1a","hmVEC__mVEC"
149,16616,0.104,0.23549068563094,7.49920690953332,"cndp2","hmVEC__mVEC"
150,13704,0.104,0.242524722109376,7.70439566254374,"mif","hmVEC__mVEC"
151,15851,-0.103,-0.222567446144483,7.23305315862878,"meox1","hmVEC__mVEC"
152,14559,-0.103,-0.298702219127597,8.2409265313124,"slc29a1a","hmVEC__mVEC"
153,14716,0.103,0.294097547770339,7.79134936362874,"cyp1a","hmVEC__mVEC"
154,14572,-0.103,-0.290530322761585,8.08924984582008,"itga9","hmVEC__mVEC"
155,13365,-0.102,-0.306399308482379,9.19694744894103,"ahnak","hmVEC__mVEC"
156,16425,0.102,0.296068804295915,8.67394818771362,"si:ch211-288g17.3","hmVEC__mVEC"
157,15223,0.101,0.277427967780871,7.73911193936231,"nectin1b","hmVEC__mVEC"
158,22646,-0.101,-0.301956432504624,9.3164337044145,"si:dkey-49n23.1","hmVEC__mVEC"
159,9133,0.101,0.204726717744815,7.17365056580213,"CABZ01043952.1","hmVEC__mVEC"
160,15893,-0.101,-0.185508812865103,7.07796189850632,"ablim1b","hmVEC__mVEC"
161,15478,-0.1,-0.240159435346873,7.43410681666215,"ace","hmVEC__mVEC"
162,16509,-0.1,-0.231374926233078,7.382792013417,"cthrc1a","hmVEC__mVEC"
163,12261,-0.1,-0.288208752436043,8.6498833772032,"ralgapa1","hmVEC__mVEC"
164,13899,0.099,0.273948682620534,7.86879181637096,"tnfaip2b","hmVEC__mVEC"
165,4363,0.099,0.193574000109322,7.10413191945653,"hoxb7a","hmVEC__mVEC"
166,8040,0.099,0.27858521965044,8.61205923638852,"prdx2","hmVEC__mVEC"
167,5187,-0.098,-0.240639254778759,7.517864797145,"tgm2b","hmVEC__mVEC"
168,10668,-0.098,-0.302367857355894,8.76603931838344,"sesn1","hmVEC__mVEC"
169,18517,0.098,0.264325434968261,8.22603553865601,"snrpg","hmVEC__mVEC"
170,22634,-0.098,-0.294572867486566,8.88513382925198,"add3a","hmVEC__mVEC"
171,5902,0.098,0.19715193268064,7.08875061981162,"BX942846.1","hmVEC__mVEC"
172,5259,-0.097,-0.203706083245774,7.13792522476971,"hs6st3a","hmVEC__mVEC"
173,8031,-0.096,-0.200544620894257,7.21685169235075,"meis1a","hmVEC__mVEC"
174,22267,0.095,0.278553784718335,8.06391761643694,"pxk","hmVEC__mVEC"
175,11374,0.095,0.297279937525611,9.06742384936207,"plk2b","hmVEC__mVEC"
176,13487,-0.095,-0.252358011519996,8.10841395944812,"ndufa1","hmVEC__mVEC"
177,18997,0.095,0.254821985251008,8.22409455416384,"glrx","hmVEC__mVEC"
178,18497,-0.093,-0.292123764396502,10.1183867734,"si:dkey-261h17.1","hmVEC__mVEC"
179,6075,0.093,0.268763487349867,8.64069129910466,"snrpb","hmVEC__mVEC"
180,17424,0.093,0.216617404997607,7.42274718531459,"dlc","hmVEC__mVEC"
181,8512,-0.093,-0.28793539470803,9.77121377236702,"nrp2b","hmVEC__mVEC"
182,11838,-0.092,-0.260123572436385,8.32336945462386,"si:ch73-138n13.1","hmVEC__mVEC"
183,13871,-0.092,-0.247782731802974,7.79297778330065,"meis1b","hmVEC__mVEC"
184,15664,0.091,0.199595230004724,7.19555516013163,"CT033796.2","hmVEC__mVEC"
185,5592,-0.091,-0.240937893778525,7.72042250665522,"amotl2a","hmVEC__mVEC"
186,7971,0.091,0.213761489162099,7.41684503118303,"neurl1aa","hmVEC__mVEC"
187,5875,0.091,0.205207970041636,7.20468700999675,"sema3fa","hmVEC__mVEC"
188,11032,0.09,0.307006881899511,8.45464049908769,"hlx1","hmVEC__mVEC"
189,2516,-0.09,-0.267597956217086,7.64318177809216,"adma","hmVEC__mVEC"
