"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"snx17",0.000294194205553694,0.0951540348611363,0.196,0.135,1,"LEC__preLEC"
"PLEKHH3",0.000294352002620218,0.188210359906752,0.059,0.031,1,"LEC__preLEC"
"hic1l",0.000294864602060974,-0.0686741566373485,0.204,0.139,1,"LEC__preLEC"
"zgc:113210",0.00029519836744932,0.579890248620909,0.038,0.017,1,"LEC__preLEC"
"ATP11B",0.000296396159787128,0.0470879913238522,0.084,0.049,1,"LEC__preLEC"
"nup107",0.000297118205062402,0.146138226081017,0.103,0.064,1,"LEC__preLEC"
"hnrnph1",0.000297711992152267,0.340229902607676,0.061,0.033,1,"LEC__preLEC"
"dhrs11a",0.000299041503679502,0.319982812271394,0.064,0.035,1,"LEC__preLEC"
"ppifa",0.000299906067929421,1.72986193154954,0.018,0.005,1,"LEC__preLEC"
"kank3",0.00030075842644202,0.0282168166301485,0.411,0.302,1,"LEC__preLEC"
"hmgb1a",0.000300930992654424,0.0835034153047034,0.692,0.556,1,"LEC__preLEC"
"znf740a",0.00030116526573206,0.306314229531257,0.095,0.058,1,"LEC__preLEC"
"neurl1b",0.000301884782789423,0.191197304371912,0.114,0.073,1,"LEC__preLEC"
"rnf185",0.000302209858834597,0.0387285531630756,0.18,0.123,1,"LEC__preLEC"
"arl1",0.000302270444694461,-0.0243987968033527,0.236,0.164,1,"LEC__preLEC"
"stard4",0.000302410071000207,0.39561459214073,0.039,0.018,1,"LEC__preLEC"
"mbtd1",0.000302897393885187,0.3037931645673,0.058,0.03,1,"LEC__preLEC"
"utp6",0.000303287477274553,0.162856721562448,0.091,0.055,1,"LEC__preLEC"
"cap1",0.000303892686292285,0.0476838349066804,0.211,0.147,1,"LEC__preLEC"
"sult1st1",0.000304541556029186,-0.0056671828941392,0.282,0.201,1,"LEC__preLEC"
"hipk3a",0.000305511277675794,0.328156050513156,0.097,0.06,1,"LEC__preLEC"
"miga1",0.000305666240516129,0.651088759548673,0.031,0.012,1,"LEC__preLEC"
"ctdspl2b",0.000306371587931065,0.202127663815733,0.067,0.037,1,"LEC__preLEC"
"smn1",0.000306961179162762,0.220058331156396,0.083,0.049,1,"LEC__preLEC"
"ywhaqa",0.000308670758434976,0.0995283773686926,0.741,0.609,1,"LEC__preLEC"
"si:dkey-182i3.8",0.000309051399133693,0.959748933676028,0.032,0.013,1,"LEC__preLEC"
"si:dkey-188h10.3",0.000309869167786522,0.652004555450549,0.043,0.02,1,"LEC__preLEC"
"pip4k2ca",0.000311057049983845,-0.0246632001528884,0.29,0.206,1,"LEC__preLEC"
