"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"si:ch73-174h16.4",0.815804425697954,-0.333585073385606,0.035,0.037,1,"mVEC"
"rnpepl1",0.815827674168846,-0.0436308849095677,0.123,0.117,1,"mVEC"
"ttc27",0.815993785631634,-0.0571454905387796,0.067,0.063,1,"mVEC"
"fam210aa",0.816001110686202,0.037359238115763,0.082,0.078,1,"mVEC"
"tsnax",0.816014572750157,0.199724833736358,0.015,0.014,1,"mVEC"
"utp23",0.816123456427594,0.0451921006325633,0.104,0.1,1,"mVEC"
"ephb6",0.81627015421415,-0.144370633305138,0.014,0.015,1,"mVEC"
"adora2b",0.816349063997216,-0.0462817558725375,0.167,0.172,1,"mVEC"
"ube2h",0.816405297299505,-0.00222695456426508,0.275,0.269,1,"mVEC"
"SGMS1",0.816545228149948,-0.0193191088197295,0.352,0.354,1,"mVEC"
"kdm4c",0.816880345257597,-0.474341001884933,0.044,0.046,1,"mVEC"
"si:dkeyp-82a1.6",0.816892344580386,0.0570051655834409,0.099,0.104,1,"mVEC"
"plbd1",0.817004998777276,0.0345635702148814,0.036,0.034,1,"mVEC"
"cpe",0.817037015763748,0.425394392006448,0.015,0.014,1,"mVEC"
"CCDC39",0.817073035631367,0.310632322949098,0.055,0.053,1,"mVEC"
"BX957317.1",0.817114502408189,-0.196485534783363,0.045,0.048,1,"mVEC"
"dbt",0.817124419233406,0.200340829470778,0.102,0.099,1,"mVEC"
"rhbdd1",0.817149446998537,0.420782471657008,0.033,0.031,1,"mVEC"
"pgfb",0.817354282912427,-0.45027668668406,0.054,0.051,1,"mVEC"
"si:dkey-108k21.10",0.817496187990679,0.00618390110469758,0.143,0.15,1,"mVEC"
"frmd8",0.817580043869774,-0.0375789671529647,0.187,0.19,1,"mVEC"
"rnf215",0.817804052499562,-0.180390310987419,0.014,0.015,1,"mVEC"
"sptlc2b",0.818189958913597,0.025893965091256,0.374,0.393,1,"mVEC"
"alox12",0.818325750666137,-0.0551043256214974,0.036,0.034,1,"mVEC"
"elovl1a",0.818415780656783,0.042314322759788,0.028,0.026,1,"mVEC"
"kank2",0.818538055695327,-0.113690728783701,0.185,0.189,1,"mVEC"
"dipk1aa",0.818571263713763,0.154597683313948,0.015,0.014,1,"mVEC"
"tcf12",0.818924812236267,0.0184845755106531,0.652,0.685,1,"mVEC"
"erbin",0.818973842668452,0.131528183187418,0.487,0.491,1,"mVEC"
"march6",0.819094494573818,-0.0365881084040916,0.324,0.33,1,"mVEC"
"uck1",0.819121649300911,0.755444033492597,0.043,0.041,1,"mVEC"
"FBXO46",0.81914327162231,0.0266234768778206,0.082,0.078,1,"mVEC"
"tusc3",0.81914799423016,0.180987099604306,0.173,0.182,1,"mVEC"
"bet1l",0.819221749625687,0.0933747995997951,0.116,0.112,1,"mVEC"
"usp40",0.819265013909903,-0.0388578178216994,0.052,0.054,1,"mVEC"
"kremen1",0.81933864869802,-0.215650998704789,0.014,0.015,1,"mVEC"
"fam151b",0.819551174748125,-0.095931053714736,0.028,0.026,1,"mVEC"
"arglu1a",0.819561386985871,0.147794025944087,0.3,0.315,1,"mVEC"
"rap2b",0.819574181562725,0.066717233386403,0.172,0.167,1,"mVEC"
"sdhaf1",0.819584608747317,0.184875945666339,0.033,0.031,1,"mVEC"
"UST",0.819594482185841,0.224376306440073,0.015,0.014,1,"mVEC"
"mrto4",0.819799385552974,-0.158157532359806,0.09,0.094,1,"mVEC"
"ascc3",0.819805198765433,0.0674798404035908,0.129,0.126,1,"mVEC"
"plxnc1",0.819850334876426,-0.0835560335493675,0.014,0.015,1,"mVEC"
"ciao2b",0.820035208752269,0.0271590478430523,0.205,0.201,1,"mVEC"
"otud4",0.820106206743503,0.0685732214763188,0.015,0.014,1,"mVEC"
"pon1",0.820308314513594,-0.210708412190203,0.028,0.026,1,"mVEC"
"rab11fip1a",0.82032166847778,0.0425640950693835,0.094,0.09,1,"mVEC"
"get4",0.820363714807174,0.157420060524881,0.219,0.216,1,"mVEC"
"cfd",0.82040767788634,-0.408603096181985,0.119,0.114,1,"mVEC"
"mrtfaa",0.820608790024972,0.722784752711959,0.02,0.022,1,"mVEC"
"mapk3",0.820651949879276,0.128680851248038,0.202,0.213,1,"mVEC"
"auh",0.8207666581367,-0.0389009027794036,0.144,0.138,1,"mVEC"
"yme1l1a",0.820771487167062,-0.0239159322562044,0.062,0.065,1,"mVEC"
