Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,is_hippo_gene
dis3l2,0.0423309582832326,-0.20627884840603,0.159,0.108,1,
zgc:171772,4.06474719837107e-8,-0.204329568836424,0.998,0.997,8.8623683166084e-4,
CABZ01113192.1,0.0342612091049181,-0.20032134617972,0.105,0.066,1,
cirbpb,1.00911911860427e-5,-0.194022720843551,0.984,0.971,0.22001824142929,
nsfb,0.0389906455498143,-0.18894314936963,0.085,0.052,1,
lfng,0.0126458494502042,-0.184084434142279,0.891,0.871,1,
si:dkey-151g10.6,2.75022225641915e-9,-0.180683247605452,1,1,5.99630958567067e-5,
crppa,0.0190138753476696,-0.177279265302998,0.125,0.077,1,
si:ch211-222l21.1,4.0313687096917e-4,-0.175624033747074,0.994,0.996,1,
ak3,0.0242196259292578,-0.175426546733099,0.091,0.053,1,
mfap1,0.0348412851795375,-0.174252148623707,0.252,0.175,1,
sec22a,0.0385901104680758,-0.174153958204654,0.089,0.055,1,
CR383676.2,1.84165606682621e-8,-0.172469796220724,1,1,4.0153627225011e-4,
prpf4,0.0453519485842994,-0.16801559142121,0.109,0.072,1,
ssu72,0.0464759079755415,-0.165146409008095,0.222,0.157,1,
txndc15,0.0236000964527224,-0.164169865037533,0.179,0.119,1,
tmem208,0.032711051799108,-0.159877558312734,0.171,0.115,1,
eaf1,0.0490976503227648,-0.158526540601897,0.131,0.088,1,
ppdpfb,0.048869377274774,-0.156733474979591,0.944,0.906,1,
matr3l1.1,0.0475388076845564,-0.150572962382417,0.194,0.135,1,
uba52,6.47113025618546e-6,-0.146539277529012,1,0.997,0.141090052975612,
actr6,0.0214665703576395,-0.146377399997592,0.097,0.058,1,
ikbkg,0.014929997621077,-0.143485868443427,0.105,0.062,1,
btbd6b,0.0233949477183043,-0.142647447122668,0.127,0.08,1,
rbm28,0.0377437199210505,-0.142517625981035,0.135,0.09,1,
stag1b,0.0296400123616062,-0.140050053200625,0.097,0.059,1,
surf2,0.0442289026716059,-0.137617294115217,0.077,0.046,1,
marcksl1a,2.3054255034597e-4,-0.136037974910709,0.998,0.996,1,
slc16a9b,0.0171175818177579,-0.135891721273852,0.177,0.115,1,
cstf2,0.0293058210054532,-0.132403901884544,0.228,0.156,1,
rnf40,0.0409430155452722,-0.131317865437801,0.238,0.168,1,
zgc:92335,0.0371252431269308,-0.130648458458565,0.2,0.137,1,
tpm4a,0.00880784075761239,-0.12936339718197,0.988,0.979,1,
tfcp2,0.0285850020914656,-0.128733083125483,0.093,0.056,1,
rtn1a,0.0352883746670225,-0.127799513821376,0.196,0.136,1,
gask1b,0.0411532356098828,-0.123999556165759,0.327,0.233,1,
mt-co2,0.0103053662448291,-0.122270586350642,1,0.999,1,
glrx5,0.0379670662140228,-0.122254306376612,0.268,0.188,1,
bloc1s2,0.0235162607702464,-0.120788477519315,0.177,0.118,1,
arl14ep,0.0302683721222734,-0.117671088353332,0.183,0.125,1,
RPS17,0.0031882534735204102,-0.117559801204942,1,0.997,1,
magi1b,0.0393234641503986,-0.116892269146349,0.137,0.091,1,
smg6,0.0264063586058448,-0.113961907621927,0.183,0.123,1,
pinx1,0.00991081113281573,-0.113513683582066,0.208,0.135,1,
sox13,0.0131368439891404,-0.113416477805933,0.185,0.121,1,
gabarapa,0.0201193328732985,-0.111186362073854,0.357,0.245,1,
dbn1,0.0387149579841126,-0.110774189645955,0.179,0.123,1,
mras,0.0343279852292369,-0.108898047379816,0.329,0.231,1,
zgc:100918,0.0286944156005836,-0.108183599465157,0.321,0.226,1,
CABZ01058650.1,0.0287332445900064,-0.106683322726917,0.224,0.153,1,
arcn1b,0.0167422666668612,-0.106575374752468,0.188,0.123,1,
dram2b,0.0476850812741301,-0.106294311609651,0.177,0.123,1,
gtf2f1,0.0165180985434694,-0.101963502515382,0.24,0.165,1,
paxbp1,0.0382125427339472,-0.0998991042895139,0.161,0.109,1,
faua,0.00246844167478323,-0.0994829494532876,1,0.999,1,
ppp1r14bb,0.0343077904814425,-0.0985794832407405,0.468,0.335,1,
si:dkey-222f8.3,0.0440919055730106,-0.0980250606671021,0.341,0.244,1,
prr14,0.0375067670746889,-0.0958813659067634,0.115,0.074,1,
fmo5,0.0358565468702786,-0.0958200861310123,0.099,0.062,1,
zmynd11,0.0178195124672178,-0.0929751031188394,0.216,0.144,1,
fam168b,0.0182326860988672,-0.0927332249086135,0.159,0.102,1,
washc2c,0.0126973006482155,-0.0920625918114149,0.159,0.101,1,
emc9,0.0408883444709371,-0.0919656531826671,0.147,0.1,1,
cyb5a,0.0447736046692398,-0.091801577989267,0.288,0.208,1,
emc4,0.0106668738888349,-0.0916817106304975,0.141,0.086,1,
hcfc1a,0.0300583141724311,-0.0913025961960863,0.157,0.105,1,
s1pr1,0.0233226670958099,-0.0899497271747865,0.268,0.185,1,
cdk11b,0.0418294754181104,-0.0893850242926586,0.103,0.066,1,
si:ch73-238c9.1,0.0171047027491996,-0.0877473895878172,0.177,0.115,1,
nusap1,0.0320655503586394,-0.0874570459380242,0.073,0.042,1,
daxx,0.0492022863617299,-0.0871369472998906,0.105,0.069,1,
erlec1,0.0342955362566069,-0.0870455832390761,0.226,0.157,1,
si:dkey-19e4.5,0.0031689505113588,-0.0866035441662717,0.238,0.149,1,
nat9,0.0410036383155909,-0.0862418170031837,0.222,0.156,1,
sqstm1,0.0350405086875808,-0.0848773474801825,0.171,0.116,1,
acsl4b,0.0109310736902743,-0.0846964282872702,0.097,0.055,1,
plekha1a,0.0182431854998358,-0.0842378098241292,0.157,0.102,1,
srsf6a,0.0422569501256078,-0.0838124358379386,0.127,0.084,1,
top1l,0.028789791435623,-0.0831707119794469,0.44,0.314,1,
arhgef1a,0.0100501264690346,-0.082860796527235,0.192,0.123,1,
arpin,0.0388659925918123,-0.0813204578689923,0.113,0.073,1,
cpsf2,0.018412327804532,-0.079669390102802,0.139,0.088,1,
nck1b,0.0479898986053184,-0.0783413818965287,0.417,0.3,1,
elf2b,0.0290233070371125,-0.077749424739717,0.25,0.175,1,
fam133b,0.0410763804964734,-0.0776906363194298,0.31,0.224,1,
med4,0.0462485369001072,-0.0775681094013669,0.075,0.045,1,
eef1a1l1,0.00320036812297847,-0.0767514212308127,1,1,1,
zgc:153115,0.0230333420511546,-0.0758273027080769,0.155,0.102,1,
itga6b,0.0142162737724192,-0.0748242859386485,0.339,0.231,1,
cpdp,0.0256731546942152,-0.0743606826113148,0.119,0.076,1,
sf3b1,0.0212477783619664,-0.0742454269053016,0.296,0.205,1,
si:ch211-222k6.3,0.0343426425731709,-0.07400504033769,0.171,0.118,1,
zgc:123010,0.0371905885865268,-0.0739575956860254,0.171,0.118,1,
stk24b,0.0271556664125197,-0.0736623189660603,0.097,0.059,1,
plcd1a,0.0215432514338386,-0.0736251047338858,0.139,0.09,1,
cemip2,0.0196129541480459,-0.072584474689765,0.169,0.111,1,
kif5ba,0.0188442708690382,-0.0723218939210465,0.202,0.133,1,
timm8a,0.0107137357181244,-0.0721064708712678,0.125,0.074,1,
tmsb4x,0.00284994364169498,-0.0700838874360583,1,1,1,
rer1,0.010561021496757,-0.0692540444962344,0.389,0.264,1,
scamp2,0.0211255705344195,-0.0689975591394615,0.27,0.185,1,
ptges3a,0.00512884668992416,-0.068722336142257,0.21,0.132,1,
si:ch1073-291c23.2,0.0227268364038507,-0.0675118386134277,0.383,0.275,1,
zgc:55943,0.0361431390244189,-0.0673396847864173,0.198,0.136,1,
pdcd5,0.0448835174064698,-0.0665720294451767,0.254,0.18,1,
ndufa12,0.0306523367469812,-0.0661624616085795,0.355,0.257,1,
ddx19,0.00809541476046328,-0.0658449435121304,0.139,0.083,1,
cxxc1a,0.0163712892007375,-0.0649637314025612,0.204,0.135,1,
ptp4a2b,0.0499002402549396,-0.0635692697006386,0.258,0.185,1,
tnrc6b,0.0252427963977029,-0.0624681434090074,0.183,0.123,1,
lhfpl2a,0.00164687284008508,-0.0617926264418108,0.343,0.22,1,
foxp1a,0.0357459075948741,-0.0615868140346948,0.254,0.18,1,
ndufa3,0.0279198573313422,-0.0609627499927517,0.224,0.154,1,
elob.1,0.021175078566974,-0.0591662986731153,0.369,0.254,1,
lef1,0.0341704801289118,-0.0578972775910059,0.171,0.116,1,
ankrd12,0.042516262295829,-0.0565139351581712,0.27,0.194,1,
dnajc10,0.0163048408489629,-0.0555192237266606,0.087,0.049,1,
otud5a,0.0312228837216471,-0.0547257846580451,0.149,0.1,1,
kansl1b,0.0464032143022617,-0.0542671946557143,0.175,0.122,1,
maco1a,0.0361846152832423,-0.0542018451877315,0.133,0.088,1,
dolpp1,0.0299444751320646,-0.0541721819347798,0.252,0.177,1,
atp6v0b,0.00598149366745439,-0.0540054854246022,0.216,0.137,1,
aldh1l1,0.0441544596138559,-0.0538693822481731,0.139,0.094,1,
wwc3,0.0419670364245552,-0.0536069977950961,0.167,0.115,1,
si:ch73-269m14.2,0.00384714661190174,-0.0516383589190382,0.25,0.16,1,
fzd4,0.0479849491272837,-0.0508476289977197,0.317,0.234,1,
klf11a,0.0408555459761884,-0.0508153556425095,0.274,0.198,1,
ndfip1l,0.0269101302202312,-0.04981312720678,0.288,0.201,1,
afap1l1a,0.0444373912437773,-0.0495451984182538,0.256,0.185,1,
lsm3,0.0129080823341796,-0.0487285137892324,0.278,0.189,1,
mid1ip1b,0.0331802491448043,-0.048532530464263,0.071,0.041,1,
dhx40,0.0395076931782451,-0.0480286430820551,0.046,0.024,1,
uqcc1,0.00581275765259866,-0.0478082279556311,0.169,0.102,1,
plekhg5a,0.045907908836859,-0.0472289340928611,0.288,0.213,1,
rrp8,0.0369423472576429,-0.0472083809004316,0.052,0.028,1,
rin3,0.0473663536190619,-0.0468877409639719,0.161,0.112,1,
tfdp1a,0.0487818535077628,-0.0464928415762302,0.067,0.039,1,
man1a2,0.0474703135572961,-0.04645362748446,0.075,0.045,1,
ppt1,0.0423052269669967,-0.0455643559361114,0.542,0.4,1,
ISCU,0.0190562099852416,-0.0453828645087931,0.349,0.244,1,
tll1,0.0245698941925313,-0.0453824397060942,0.256,0.177,1,
eif4e1c,0.0178037603144136,-0.0452996844425221,0.28,0.196,1,
rtca,0.0173019335307335,-0.0448986022014034,0.327,0.23,1,
yipf6,0.00648436262652273,-0.0448434616668146,0.188,0.118,1,
znf654,0.032971306947358,-0.0448194526372983,0.147,0.098,1,
arntl1a,0.0291083580845519,-0.043866676445506,0.087,0.052,1,
MYADM,0.0263048430105799,-0.0434911353840582,0.206,0.143,1,
si:ch211-198a12.6,0.0201115207190277,-0.0429093028473019,0.274,0.191,1,
uqcrq,0.0240220542977435,-0.0422847674753021,0.431,0.314,1,
il13ra2,0.0298153738281967,-0.0422426272265686,0.494,0.369,1,
pon3.2,0.00935921586736065,-0.0420762473520127,0.145,0.088,1,
apobb.1,0.0176814360685671,-0.0420058294629926,0.06,0.031,1,
ablim1b,0.032726484023857,-0.0419208820112886,0.075,0.043,1,
kdm5bb,0.0239846584341084,-0.0407816725683753,0.248,0.171,1,
pleca,0.0290206421622437,-0.0403612694514139,0.375,0.273,1,
myo7aa,0.0320997563952057,-0.0403039209634372,0.248,0.175,1,
hddc3,0.0497207358795505,-0.0401675534620582,0.141,0.097,1,
tmem108,0.0491865156778665,-0.0401366978110829,0.391,0.289,1,
GARRE1,0.0170127923474143,-0.0393650478700553,0.141,0.09,1,
aktip,0.0125449252573606,-0.0392105458225073,0.282,0.189,1,
birc6,0.0281104129917887,-0.0384900609655614,0.123,0.079,1,
gps2,0.0341957388923301,-0.0383306063379314,0.151,0.101,1,
si:dkey-16l2.16,0.0401620287333984,-0.0383011312475892,0.21,0.147,1,
pggt1b,0.0275081812537203,-0.0381500105360144,0.123,0.079,1,
luc7l,0.0454845369619484,-0.0362109735557091,0.238,0.17,1,
wdr21.1,0.0196986379671789,-0.0354845234907171,0.109,0.066,1,
ndufv1,0.0235980764043429,-0.0350099021118891,0.218,0.149,1,
ppp4cb,0.0133154471909976,-0.0347604374414696,0.28,0.191,1,
si:dkey-33c12.4,0.0409866989546736,-0.0336229957970194,0.204,0.144,1,
sept9b,0.0052463490296124,-0.033608671757057,0.218,0.137,1,
rbm14a,0.0469400445433621,-0.0330643036771937,0.157,0.109,1,
tuba1c,0.0271279299532434,-0.0329379111844449,0.284,0.203,1,
tm2d1,0.0381458361817692,-0.0328010203437206,0.133,0.088,1,
dtx2,0.0327531520031975,-0.0325476173260111,0.121,0.079,1,
myh10,0.0120853568201423,-0.0324354787322739,0.298,0.208,1,
foxj3,0.0408921788173029,-0.0319111848998692,0.123,0.081,1,
elovl1a,0.0150849334327027,-0.0317302931086316,0.153,0.098,1,
zgc:113263,0.0237219278527452,-0.0312839602650175,0.141,0.091,1,
adipor1b,0.036098054453592,-0.031014147606399,0.065,0.036,1,
cnpy1,0.0482634525296809,-0.0308195291963625,0.218,0.158,1,
pgam5,0.00626014857033141,-0.0303170044421929,0.175,0.108,1,
gng12a,0.03878093588624,-0.030316358168192,0.161,0.111,1,
ak1,0.0290686384439396,-0.0299484816304773,0.411,0.293,1,
tomm22,0.0142632596488147,-0.0299025692420015,0.244,0.164,1,
waca,0.0190244409842895,-0.0297061078668729,0.188,0.125,1,
akap8l,0.0332358251791099,-0.0295654136409995,0.31,0.217,1,
vdac1,0.0112807341854087,-0.0289753039804195,0.478,0.335,1,
egln2,0.015750268849795,-0.0287772070554584,0.165,0.108,1,
diabloa,0.0488547485508161,-0.0287218602463879,0.065,0.038,1,
si:dkey-112a7.4,0.0220256637072562,-0.0277441897910833,0.113,0.07,1,
itsn2b,0.0064835859503018,-0.0276160803465715,0.133,0.079,1,
ccdc43,0.0451779597237386,-0.0271319015285187,0.073,0.043,1,
tcea1,0.0285006548180588,-0.0269106897300629,0.208,0.143,1,
ep300a,0.0356962481563831,-0.0265008184382722,0.145,0.098,1,
apex1,0.0444410288962549,-0.0264619805915235,0.355,0.257,1,
map4k5,0.04664840289846,-0.026152800570988802,0.067,0.039,1,
gypc,0.0266425892383286,-0.0257520907124937,0.171,0.115,1,
ccdc174,0.0432059241429855,-0.0256461981072473,0.119,0.079,1,
rbm17,0.0226817331570824,-0.0256005474769465,0.135,0.087,1,
abhd16a,0.00357480511814156,-0.0252605874612613,0.171,0.102,1,
coa5,0.0177784309265895,-0.0251864011448131,0.163,0.108,1,
dpysl2b,0.0401251141914344,-0.0250620218326538,0.183,0.128,1,
cnih1,0.0300369414961404,-0.0250376879482596,0.284,0.201,1,
irx3b,0.0271713803980012,-0.0246761776919301,0.232,0.164,1,
kctd12.2,0.0273138765670832,-0.0245894490968757,0.198,0.137,1,
zgc:56064,0.00760088834587797,-0.0241672144502559,0.21,0.133,1,
anxa13l,0.00783199203222939,-0.0240132642106697,0.266,0.178,1,
med31,0.0411231931310024,-0.0229715081178584,0.248,0.177,1,
fis1,0.00369031070463284,-0.0225183998195049,0.226,0.143,1,
p3h1,0.0470516990793878,-0.0223917792138241,0.157,0.109,1,
cops8,0.0204198343138802,-0.0222893245615179,0.244,0.167,1,
phf3,0.0245609946018076,-0.0210203363311842,0.183,0.123,1,
ddx24,5.9043931926089e-4,-0.0203011086959575,0.111,0.053,1,
hoxb3a,0.0379358255160588,-0.0202895947015843,0.288,0.21,1,
xpo6,0.0251356472172353,-0.020209033137057,0.06,0.032,1,
si:ch211-195d17.2,0.0169065063557395,-0.0201173576066824,0.091,0.052,1,
kdm6ba,0.0117810086436732,-0.0200802592646899,0.351,0.244,1,
pias4a,0.00699564366535796,-0.0196161939354279,0.185,0.116,1,
celsr1a,0.0330800933683073,-0.0195211716669215,0.262,0.188,1,
atg13,0.00985747733907289,-0.0194331626454569,0.161,0.1,1,
homeza,0.0476819458820874,-0.0186716471950732,0.111,0.073,1,
zgc:113363,0.042675166640393,-0.0181019542650444,0.286,0.209,1,
yeats4,0.00613496837546602,-0.0167634120780528,0.292,0.192,1,
pawr,0.0277988005699459,-0.0167074793321742,0.421,0.307,1,
ash1l,0.0234950324436877,-0.0165147099771234,0.222,0.154,1,
oga,0.00218346926504174,-0.0164954392485661,0.45,0.297,1,
dldh,0.0385285529227568,-0.0160735002576826,0.272,0.194,1,
crkl,0.0495007865316384,-0.0156665000036178,0.091,0.058,1,
ankfy1,0.0091577161450651,-0.0156208079821106,0.181,0.115,1,
nkain1,0.00747190927956512,-0.0148904657408181,0.183,0.115,1,
nxn,0.0254198348877298,-0.0145238145783249,0.246,0.171,1,
arf1,0.0221835969225252,-0.0140949454179297,0.427,0.303,1,
tm2d3,0.00679880384835174,-0.0137120289262622,0.177,0.111,1,
arpp19b,0.0115214482007839,-0.0133334741921002,0.171,0.111,1,
serinc2,0.00416300132261153,-0.0131973934713487,0.25,0.161,1,
zranb2,0.0402835882315171,-0.012848288363421,0.238,0.171,1,
fnbp4,0.0337164258239921,-0.0128316256328481,0.2,0.137,1,
mbd3a,0.0196540151658986,-0.0127831629139822,0.308,0.215,1,
nop10,0.00518157130302846,-0.0124109309549691,0.202,0.126,1,
arpc4,0.0307105455054384,-0.0124052081369826,0.349,0.252,1,
churc1,0.0226259748507435,-0.0117850270297047,0.175,0.118,1,
lamp1b,0.0449996323185553,-0.0117344405826945,0.071,0.042,1,
fzr1a,0.0391989577995233,-0.0111007337043634,0.149,0.101,1,
arl8a,0.00984567802382388,-0.0109342297014337,0.185,0.118,1,
MZT1,0.0151651077271056,-0.0102922672615147,0.2,0.132,1,
si:ch211-160o17.2,0.0228114968109872,-0.0102169656404787,0.117,0.073,1,
rnf185,0.0267806920243105,-0.0101013913555341,0.22,0.153,1,
sdha,0.00437831950315606,-0.0096674291119978,0.194,0.118,1,
zmiz1a,0.0262706562215368,-0.00964802696530603,0.306,0.22,1,
apoob,0.0195397720189995,-0.00947665497473005,0.105,0.063,1,
tcirg1b,0.00652658609093528,-0.00946314927952852,0.131,0.077,1,
kansl1a,0.0399558781939823,-0.00920470380886362,0.089,0.055,1,
gps1,0.0360496514491496,-0.00883853358071773,0.111,0.072,1,
FOXK2,0.00539179648763871,-0.0088251820094789,0.177,0.109,1,
ube2l3b,0.0404295097490832,-0.00844054298553193,0.367,0.265,1,
cdyl,0.0163927155924816,-0.00824344830033308,0.083,0.046,1,
dnajc7,0.0175149486750443,-0.00821715671157776,0.304,0.21,1,
thtpa,0.0260178161571316,-0.00783564574702789,0.073,0.041,1,
cx43,0.0456080328096074,-0.00779541635529024,0.518,0.384,1,
enc1,0.0325623891898897,-0.00738747611666835,0.115,0.074,1,
hadh,0.0272429791795529,-0.00710931379321789,0.317,0.224,1,
rogdi,0.0437328615257473,-0.00679060228917971,0.095,0.06,1,
zgc:92140,0.0231369822455364,-0.00668947707049738,0.21,0.146,1,
pbx2,0.0386615300920216,-0.00613552647881321,0.121,0.08,1,
dynlt3,0.0289204846398878,-0.00608459503659531,0.508,0.367,1,
tomm6,0.0215927569433539,-0.00606391268318443,0.266,0.185,1,
rbfox2,0.0142737953572826,-0.0056454740412958,0.272,0.185,1,
dsc2l,0.0481436848476648,-0.00544000422798177,0.294,0.213,1,
pitpnbl,0.0302486477964753,-0.00513360756364217,0.367,0.261,1,
znf609b,0.0224456836858298,-0.00486586683027662,0.349,0.248,1,
trnau1apb,0.032420170332131,-0.00414779621812275,0.272,0.191,1,
wdr45b,0.0324196701263819,-0.00396830693424599,0.075,0.043,1,
kmt5aa,0.00201069901027601,-0.00390025318534049,0.198,0.118,1,
ndufs8a,0.0235342072241224,-0.00388420106296698,0.282,0.196,1,
CABZ01020840.1,0.0171435855560931,-0.00357963952109763,0.069,0.036,1,
chd4b,0.00522806615715724,-0.00328320888368561,0.504,0.344,1,
