"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"fnbp1a",0.0393565416885765,0.357735303463812,0.018,0.006,1,"hmVEC"
"luc7l3",0.039383529033854,0.0370523366967916,0.177,0.123,1,"hmVEC"
"dhx40",0.0395076931782451,-0.0480286430820551,0.046,0.024,1,"hmVEC"
"usp8",0.039541485405253,0.157056830111854,0.147,0.101,1,"hmVEC"
"adma",0.0396131122980866,-0.396844301852362,0.597,0.588,1,"hmVEC"
"lyrm2",0.0398359511793666,-3.5915346972587,0.004,0.017,1,"hmVEC"
"prkci",0.0398752302788206,0.0364010151074545,0.167,0.116,1,"hmVEC"
"eaf2",0.039882726029186,0.0680090639712005,0.081,0.049,1,"hmVEC"
"kansl1a",0.0399558781939823,-0.00920470380886362,0.089,0.055,1,"hmVEC"
"uxt",0.0400116455209534,0.16538712957688,0.077,0.046,1,"hmVEC"
"lrrc47",0.0400259061979037,0.246179611739529,0.097,0.062,1,"hmVEC"
"lifra",0.0400753118324475,0.0725707370667226,0.079,0.048,1,"hmVEC"
"dpysl2b",0.0401251141914344,-0.0250620218326538,0.183,0.128,1,"hmVEC"
"b3galt2",0.0401488273650593,0.200918599344636,0.071,0.042,1,"hmVEC"
"si:dkey-16l2.16",0.0401620287333984,-0.0383011312475892,0.21,0.147,1,"hmVEC"
"ubb",0.0402140309039255,0.153163857933056,0.504,0.396,1,"hmVEC"
"zranb2",0.0402835882315171,-0.012848288363421,0.238,0.171,1,"hmVEC"
"gng5",0.0402924054685974,0.0587731370416553,0.724,0.586,1,"hmVEC"
"hbs1l",0.0403676992200618,0.182489071987738,0.067,0.039,1,"hmVEC"
"ube2l3b",0.0404295097490832,-0.00844054298553193,0.367,0.265,1,"hmVEC"
"znf740a",0.0404598327810376,0.197218889242292,0.095,0.06,1,"hmVEC"
"csnk2a1",0.0405328275361686,0.0230785257488755,0.502,0.372,1,"hmVEC"
"BX572619.1",0.0405525833918281,0.232461833103467,0.129,0.087,1,"hmVEC"
"tusc3",0.0405859294251804,0.0988093263848797,0.095,0.06,1,"hmVEC"
"fktn",0.0407022755624614,0.136644911079206,0.081,0.049,1,"hmVEC"
"ndufv2",0.0407792957377677,0.0166149452459333,0.173,0.121,1,"hmVEC"
"klf11a",0.0408555459761884,-0.0508153556425095,0.274,0.198,1,"hmVEC"
"emc9",0.0408883444709371,-0.0919656531826671,0.147,0.1,1,"hmVEC"
"foxj3",0.0408921788173029,-0.0319111848998692,0.123,0.081,1,"hmVEC"
"csnk1g1",0.0409286483969693,0.0125080649095839,0.083,0.05,1,"hmVEC"
"sptlc1",0.0409328526495071,0.0201597396016197,0.171,0.119,1,"hmVEC"
"rnf40",0.0409430155452722,-0.131317865437801,0.238,0.168,1,"hmVEC"
"reep3a",0.040969701977923,0.00638065055058684,0.206,0.147,1,"hmVEC"
"si:dkey-33c12.4",0.0409866989546736,-0.0336229957970194,0.204,0.144,1,"hmVEC"
"nat9",0.0410036383155909,-0.0862418170031837,0.222,0.156,1,"hmVEC"
"map3k14a",0.0410341557817598,0.17074824971894,0.089,0.056,1,"hmVEC"
"fam133b",0.0410763804964734,-0.0776906363194298,0.31,0.224,1,"hmVEC"
"med31",0.0411231931310024,-0.0229715081178584,0.248,0.177,1,"hmVEC"
"gask1b",0.0411532356098828,-0.123999556165759,0.327,0.233,1,"hmVEC"
"smad7",0.0411939907671326,0.0315635336611828,0.583,0.443,1,"hmVEC"
"ppardb",0.0413343421876688,0.198977057780807,0.073,0.043,1,"hmVEC"
"socs6b",0.0413732605660736,0.21561679634261,0.075,0.045,1,"hmVEC"
"smo",0.0413804210301063,0.0600164891326571,0.335,0.247,1,"hmVEC"
"fkbp4",0.0414457125840831,-0.00222481375624284,0.121,0.08,1,"hmVEC"
"ndufc2",0.0416294071946101,0.0431780804554778,0.641,0.484,1,"hmVEC"
"tmem167b",0.0416710214192802,0.305508801296714,0.071,0.042,1,"hmVEC"
"smc5",0.0417731179781214,0.449609829771874,0.109,0.073,1,"hmVEC"
"sucla2",0.0417903489897297,0.0469268455009275,0.129,0.087,1,"hmVEC"
"cdk11b",0.0418294754181104,-0.0893850242926586,0.103,0.066,1,"hmVEC"
"wwc3",0.0419670364245552,-0.0536069977950961,0.167,0.115,1,"hmVEC"
"axin1",0.0419987786336654,0.0196590260063152,0.139,0.094,1,"hmVEC"
"sesn1",0.0420104574438299,0.249056851749857,0.712,0.604,1,"hmVEC"
"ptcd3",0.0421399041634411,0.0566602669833132,0.073,0.043,1,"hmVEC"
"eml2",0.0421410453012345,0.301709338406606,0.069,0.041,1,"hmVEC"
"psmg3",0.0421707396727111,0.0625021944512516,0.163,0.114,1,"hmVEC"
"srsf6a",0.0422569501256078,-0.0838124358379386,0.127,0.084,1,"hmVEC"
"pgp",0.0422747894145189,0.0698897057135508,0.101,0.065,1,"hmVEC"
"ppt1",0.0423052269669967,-0.0455643559361114,0.542,0.4,1,"hmVEC"
"dis3l2",0.0423309582832326,-0.20627884840603,0.159,0.108,1,"hmVEC"
"tatdn3",0.0424204870827841,1.43502270956444,0.02,0.007,1,"hmVEC"
"ankrd12",0.042516262295829,-0.0565139351581712,0.27,0.194,1,"hmVEC"
"dynll1",0.0426146948842756,0.0952844312339369,0.875,0.769,1,"hmVEC"
"zgc:113363",0.042675166640393,-0.0181019542650444,0.286,0.209,1,"hmVEC"
"celf1",0.0427086464259908,0.123039408467176,0.093,0.059,1,"hmVEC"
"tfec",0.0427135675442655,0.31327586361983,0.101,0.066,1,"hmVEC"
"clint1b",0.04275661171246,0.165942851328174,0.071,0.042,1,"hmVEC"
"fbxl7",0.042777874460169,0.0149921704920468,0.161,0.111,1,"hmVEC"
